event_id,user_id,session_id,event_time,event_type,page,referrer
EVT-YZM242OM7ZTR,2625,SES-0YUCQEFRSA,2025-08-25 20:22:56,add_to_cart,/home,direct
EVT-J67DXLSE33DC,3050,SES-TQV9OB3MQW,2025-11-26 02:01:29,search,/account,direct
EVT-NF225AA35WFW,2110,SES-20X3RKWWCF,2025-11-21 21:01:36,page_view,/product,social
EVT-5Q52DEZH0CD8,4248,SES-5DEK429M0T,2025-12-24 16:50:39,page_view,/products,google
EVT-A2IBCLTRH9VG,4226,SES-TD78PRWY8Z,2025-11-30 23:19:03,page_view,/cart,email
EVT-KY5CGAGHFT9Z,1464,SES-OI9HDV9NM3,2025-08-04 01:59:50,page_view,/home,direct
EVT-ZCGL9FWVVSKP,400,SES-01DVVH6SD4,2025-12-23 21:06:12,add_to_cart,/products,google
EVT-30TX8J1CCM0W,2722,SES-H4ZX5BT8ZE,2025-09-16 14:21:18,page_view,/products,direct
EVT-3C1ZA0DV6NYY,1938,SES-H3RPRGYGO2,2025-11-26 17:42:52,page_view,/support,direct
EVT-CJ4Q0RR1L9GV,4637,SES-YPE4CWSJB4,2025-09-14 10:07:20,add_to_cart,/support,email
EVT-BMQQ749Q6QF1,182,SES-LVCRFMKSLI,2025-10-28 03:07:40,search,/product,google
EVT-PAFL9WOA2XGV,1075,SES-Z63IVV1ERK,2025-08-03 05:04:57,add_to_cart,/product,direct
EVT-GDOFMAOK8TIR,2574,SES-0VF616D3CV,2025-12-18 00:40:45,purchase,/home,email
EVT-0P8F8C8CLRKI,2398,SES-0L5C098JRP,2025-12-23 02:29:36,click,/cart,google
EVT-72OALFWYPEEK,1082,SES-G739ZOBZOU,2025-11-26 23:10:07,search,/checkout,direct
EVT-035N8CQPHLI5,419,SES-JJ30TLDO1V,2025-08-22 05:54:35,click,/support,social
EVT-L692TULGELW8,1161,SES-A1QOXM8BVZ,2025-09-08 15:06:26,scroll,/cart,direct
EVT-IVI3RQASD1WC,640,SES-L5UQW6B9W5,2025-09-08 22:21:47,page_view,/account,email
EVT-RV68JQ12JF4C,2085,SES-ZQW6L87PSC,2025-11-15 18:19:45,add_to_cart,/support,email
EVT-IWL3RFJL9VT3,4590,SES-H8Q7QRERIK,2025-11-08 22:24:03,click,/product,direct
EVT-X8VE00H2K2P3,359,SES-A7LXX08DW5,2025-08-16 09:29:55,click,/product,google
EVT-AJFAX1CQ6FWT,1804,SES-4I3O6GIL6D,2025-11-26 17:49:28,add_to_cart,/checkout,direct
EVT-V1DJJZQFE8E5,539,SES-TXLJK85JYY,2025-08-29 18:55:31,purchase,/cart,google
EVT-TNLZTWXOL4BK,4440,SES-FK31AVPM6D,2025-10-10 14:17:08,search,/cart,email
EVT-UU5CZECCFS7I,2219,SES-YSX9OJWUDR,2025-10-16 19:48:21,page_view,/checkout,direct
EVT-19MO1RTSXOF3,1714,SES-GTZ6QL3E49,2025-12-27 15:59:47,page_view,/product,direct
EVT-3QE6JIXUB4IB,866,SES-YWS3NC62AH,2025-12-10 12:17:48,page_view,/home,google
EVT-HIF5SL1YA1RY,2068,SES-NWGU9B8INN,2025-12-04 20:44:33,page_view,/cart,google
EVT-ZTBVHUAZUN6F,2351,SES-U7PGGMINUD,2025-11-07 22:10:07,page_view,/products,bing
EVT-HT60KUSFHVML,776,SES-C32GY422KK,2025-11-24 23:02:26,add_to_cart,/cart,email
EVT-JEKBVXSOGB20,3269,SES-WFAPG0JG3Y,2025-08-15 20:54:11,click,/account,bing
EVT-5HU03Y53MBWU,4672,SES-TIIHN70N6J,2025-10-29 19:13:48,add_to_cart,/cart,email
EVT-5JSLHGMRZZQO,3628,SES-BP33GIUNWE,2025-12-13 19:03:05,click,/account,direct
EVT-17RV2Y7CDABB,1036,SES-LAJM3UM94W,2025-12-24 15:21:38,click,/cart,google
EVT-AJAQ08DNX80N,361,SES-739V5745IP,2025-10-28 11:04:26,page_view,/product,google
EVT-KXKBEFQ796EW,2820,SES-65PLLD5OBQ,2025-12-27 13:26:18,add_to_cart,/products,affiliate
EVT-8257GE0Q5ZJA,296,SES-2SA12MESQ7,2025-11-24 17:21:59,add_to_cart,/account,google
EVT-UCYHONBPQGA6,1427,SES-90VON8PVWJ,2025-12-14 06:50:36,page_view,/cart,affiliate
EVT-X85ZZHJY8GY3,3510,SES-AZQ4X55PB4,2025-08-20 03:13:10,page_view,/home,email
EVT-9BU4UZ2Z0KDN,2817,SES-W6C8HS287Q,2025-10-21 05:33:10,page_view,/support,email
EVT-3TN60TLXOUN9,2866,SES-MRMPLXC0PA,2025-11-25 01:51:09,add_to_cart,/account,google
EVT-1FY6YO8DJE7X,693,SES-DRKU0GKH8V,2025-10-06 04:39:33,add_to_cart,/support,google
EVT-QTY6M79FMW04,4596,SES-XPSA97L6X2,2025-10-01 04:20:48,click,/products,google
EVT-U923O359TSUJ,1068,SES-OZ2IMB30JG,2025-08-18 19:29:12,page_view,/checkout,direct
EVT-T70Y2RL4N7S3,1133,SES-UC3TGLQKBE,2025-10-30 02:44:27,page_view,/home,social
EVT-HMO1DXQ46GA2,1122,SES-C54T59PGN3,2025-11-18 18:16:28,page_view,/checkout,email
EVT-SDFC8IO3TD3A,1242,SES-S2W1IXU1OU,2025-09-25 20:26:28,page_view,/cart,email
EVT-BEG1CJ8PMOZK,947,SES-BNLMA4AC1P,2025-10-24 23:38:06,page_view,/account,google
EVT-NHPVRWBRBLBZ,3148,SES-UVD3XAK74F,2025-12-28 11:51:14,page_view,/product,direct
EVT-5NTDYWM8RABR,1616,SES-5ZQS1BHLF8,2025-08-08 16:30:37,click,/cart,bing
EVT-6RTC0Z7Q0I9B,4660,SES-0HKKWJSV0Z,2025-12-17 12:05:32,page_view,/cart,google
EVT-L14HOAE527PS,63,SES-ITYFIPPR46,2025-11-15 02:11:05,page_view,/checkout,social
EVT-QZN7XBVZR6KF,394,SES-QHEQKMQPY6,2025-08-12 14:04:17,click,/cart,email
EVT-KLDF4HRA1361,1527,SES-N7QLBW66V3,2025-11-11 12:23:48,click,/home,direct
EVT-BGMY4IQZ6DF0,1502,SES-JR1NJKIKSM,2025-10-02 03:31:45,click,/product,google
EVT-8UPNZASYWDRK,520,SES-V4QQJ3A1IO,2025-08-27 12:47:37,page_view,/checkout,bing
EVT-UPCJ8MO765EF,389,SES-PRA5A5PMLQ,2025-09-04 08:49:46,add_to_cart,/products,google
EVT-UXQ9NJC2GOUI,588,SES-HDLQH1CV2X,2025-12-08 17:53:03,search,/support,google
EVT-FEZAC2EXVA5E,3498,SES-B402NMSIKJ,2025-12-14 18:06:19,page_view,/cart,direct
EVT-742GRRDNWT2F,3062,SES-I92XPI865E,2025-08-20 10:23:42,page_view,/support,direct
EVT-ES5CS9UI14NI,4732,SES-O9W6YA8JB9,2025-08-08 21:52:34,search,/account,email
EVT-JCP52AY7OV50,2572,SES-0C03V1NPCY,2025-10-07 12:17:17,search,/checkout,direct
EVT-EW25X1FVK1PB,280,SES-VU049DD5S0,2025-12-19 14:00:50,page_view,/support,email
EVT-CD6FXNOQ37KT,3117,SES-Q7OC0QPDXX,2025-10-25 08:16:32,page_view,/cart,google
EVT-LL8SN5YZ7VXU,3473,SES-SYKQVOX2N5,2025-08-26 21:22:58,add_to_cart,/account,social
EVT-QDRMSWJJJKSL,1985,SES-ZANEO9VAXC,2025-10-20 22:30:43,page_view,/cart,affiliate
EVT-66UML3SOJPX1,2282,SES-ZZYAGZR64L,2025-11-28 17:44:31,search,/checkout,bing
EVT-6F1KYNTL2UG0,4282,SES-4YWP6CBC5T,2025-08-18 21:06:32,page_view,/home,google
EVT-5WH23GXRIRJU,805,SES-NLL5HVDQ0M,2025-10-08 16:43:17,search,/products,google
EVT-TFVJ839AG77Q,75,SES-JKKEGVKA65,2025-12-18 03:18:19,page_view,/cart,direct
EVT-9VJUHBP9VRNE,2986,SES-FZ2RIMC6Y1,2025-12-08 08:57:24,page_view,/home,direct
EVT-GN2B4JTJ27YH,710,SES-OL5RKH87CY,2025-12-13 18:06:19,scroll,/cart,google
EVT-6UAMWJPIWUJT,3663,SES-AMNJ8PL3M8,2025-09-16 06:33:04,page_view,/cart,email
EVT-4FTLH33HW8D0,4631,SES-71NGETL53C,2025-12-01 03:03:40,page_view,/home,direct
EVT-9JRD4HQFGHDI,1431,SES-UK52CG99L3,2025-09-23 09:09:43,purchase,/cart,google
EVT-LUVNHDCZP0NW,4992,SES-49DQ1GT7DH,2025-08-15 03:57:31,page_view,/products,google
EVT-NTJ5R2SLRW4V,647,SES-T8D61098CJ,2025-10-05 19:56:20,page_view,/support,social
EVT-NZVZN2HLOIKI,2039,SES-NJZ9G6DVNQ,2025-10-20 09:09:07,page_view,/checkout,direct
EVT-VQA7IZQ2NMNR,4134,SES-49440DCLQG,2025-09-05 14:23:58,click,/account,direct
EVT-06DJIN9RG4XV,3939,SES-DD0DILXN48,2025-08-17 15:12:11,add_to_cart,/account,social
EVT-349N1D6DZBC7,2216,SES-LBCLAPDZ6W,2025-08-02 04:39:20,search,/support,direct
EVT-QK4K6ILSIDBX,3357,SES-5OWK1LO4P0,2025-09-02 20:26:21,click,/home,bing
EVT-287GT76I3HZC,103,SES-K9K20GVF74,2025-11-01 17:57:26,page_view,/support,google
EVT-D3GEQ10F7IA4,145,SES-VMBLCW0DPD,2025-12-02 05:03:31,page_view,/product,google
EVT-1SASCEBFE54U,755,SES-ZNXYDC14ZS,2025-12-12 06:42:36,purchase,/account,google
EVT-KIGDIX1CNAQ2,4058,SES-EXE0OF37FD,2025-11-08 06:39:21,add_to_cart,/cart,social
EVT-YOTOS87MVZ01,4462,SES-3MWG24UNFT,2025-10-27 12:16:26,search,/checkout,direct
EVT-SOSR2HVNKVON,1831,SES-WR2Z0AUF2W,2025-08-11 05:11:51,scroll,/products,direct
EVT-NLHAPWF520XK,3710,SES-7WR1TQZFB8,2025-08-05 21:57:26,page_view,/products,google
EVT-IAIPRQQ5QOB8,83,SES-X6JMRE2U7F,2025-08-30 08:12:00,click,/product,google
EVT-67KBQNXPVMSR,1312,SES-MKGZBYS7XZ,2025-12-16 06:53:45,click,/support,google
EVT-75RMG7F9FZJA,3340,SES-FWSANKB23J,2025-10-30 20:13:28,page_view,/products,social
EVT-HSAO2QWKBSEP,3695,SES-PMKRQ2YVMZ,2025-10-30 10:25:04,page_view,/support,social
EVT-R1B20UC87NXP,3932,SES-A5W8VLOYHD,2025-12-30 10:53:58,search,/checkout,direct
EVT-0JF6DNOBK8HU,3448,SES-OWM2HUT7P5,2025-11-30 13:01:23,click,/product,direct
EVT-P3FTJ6AC4JRC,3669,SES-MZ6W3CO8PE,2025-11-26 08:30:42,click,/support,direct
EVT-Q97RCQ6W948J,1616,SES-74ADD0GN7R,2025-09-30 20:00:56,click,/home,social
EVT-U63LXSY4VY32,4247,SES-VXQ51WHAL1,2025-11-10 07:51:39,add_to_cart,/support,google
EVT-I3PJ7K99BV2J,2804,SES-04S210U8UL,2025-08-26 12:14:06,page_view,/support,google
EVT-3T4H8QFDTN0P,4826,SES-V1J308IPUV,2025-11-17 23:31:03,click,/product,email
EVT-LCFR7CL6P3FR,2063,SES-58OHCU0E0R,2025-11-20 01:16:16,click,/home,google
EVT-B7EI5R8VO4KV,4197,SES-3JSS3T14LY,2025-09-08 01:59:43,search,/products,direct
EVT-FFLNCC2ATRD8,780,SES-F6NXXX5F6Z,2025-08-03 16:25:00,click,/account,google
EVT-3X9AGE9NY3MU,1059,SES-61DHIHPSMT,2025-09-07 21:12:30,search,/checkout,google
EVT-B6LBU9W3GGO9,2399,SES-K7P6XSVOLT,2025-09-11 07:19:12,page_view,/support,email
EVT-DVWS3KCVJXZD,3005,SES-RJKLUMCMH7,2025-09-17 17:12:04,scroll,/cart,google
EVT-VYB4XZ3MSKZO,2331,SES-LM2LW7ZRTQ,2025-08-13 13:26:46,search,/product,direct
EVT-3I9LLIFFCVED,4733,SES-J8CW8N57PL,2025-10-28 21:25:32,click,/products,direct
EVT-QFC1YUZPEX7T,1760,SES-E0EWRJIWML,2025-10-27 15:25:52,page_view,/support,email
EVT-V7HRBFGCB4JG,4621,SES-12P5WPVI06,2025-09-25 04:19:04,page_view,/checkout,social
EVT-RXOZLEL8PL6U,4261,SES-B8MSG4OGB1,2025-10-02 16:30:18,add_to_cart,/cart,direct
EVT-ZA28OR9F5IV8,428,SES-LRXGKEKT0K,2025-10-19 15:52:53,click,/product,direct
EVT-6ZP1WZ2NAR3S,3877,SES-XGNTUSJXBC,2025-09-12 00:18:05,page_view,/checkout,google
EVT-HLX0ST69WWP8,2491,SES-WSBAH6TC45,2025-10-14 10:08:17,click,/products,google
EVT-2QZTT1BLOW2R,2117,SES-PI2SO0DMJP,2025-09-26 23:57:28,add_to_cart,/account,direct
EVT-576VILVQKXBI,2322,SES-AIFOWP473O,2025-12-27 00:24:47,page_view,/support,google
EVT-6JJTB8QOP82J,560,SES-ZRBLH74KUD,2025-10-02 20:34:36,page_view,/support,affiliate
EVT-3TPS82XLVB9H,4945,SES-YZ3MQWY2NB,2025-12-04 06:56:29,page_view,/support,google
EVT-XKEI9ULTHYCX,1386,SES-958804XXU4,2025-12-03 22:38:11,page_view,/product,google
EVT-8AE0JXYO6HFD,2618,SES-YQ5TDFGJ7N,2025-08-01 11:08:25,page_view,/support,email
EVT-7LTTC954AI22,1955,SES-RSKOQV333C,2025-10-31 12:52:49,add_to_cart,/product,direct
EVT-78EQE12QEYKC,590,SES-2UUDSQNCUY,2025-11-27 01:58:22,page_view,/support,google
EVT-2MNG806W819F,499,SES-K2VFHD7WG1,2025-09-01 18:29:05,page_view,/home,google
EVT-MSYG91MMO1DS,2823,SES-1SXXRPPNL6,2025-12-04 05:46:06,click,/account,google
EVT-3HGW10C9IX6R,1530,SES-RNKWXZWL9P,2025-08-26 17:43:14,scroll,/support,social
EVT-1NXHBQAM97XO,1639,SES-QRMOU803JW,2025-09-30 20:41:49,page_view,/home,direct
EVT-485D4VUEER90,1133,SES-6R8YKEHVQ9,2025-11-20 00:51:19,scroll,/product,direct
EVT-MWB4LL3K4BK8,4484,SES-XD8XQ41WJX,2025-12-23 23:59:32,page_view,/checkout,social
EVT-EJNFMOCTCLKA,416,SES-3XYRG7QSOD,2025-10-08 03:22:47,page_view,/products,direct
