inventory_id,sku,warehouse,on_hand,reserved,reorder_point,last_count_date,available
176,SKU-YR06NKWFG3,WH-NJ-01,183,106,100,2025-06-03,77
177,SKU-93ACZSX0GN,WH-NC-02,256,33,20,2025-08-07,223
178,SKU-ONXD70FE07,WH-NC-02,316,7,30,2025-09-11,309
179,SKU-RPKZGGM0J3,WH-TX-03,66,31,100,2025-08-03,35
180,SKU-C0TR58PS0R,WH-TX-03,212,145,20,2025-06-18,67
181,SKU-S387J5IE3L,WH-NJ-01,219,167,100,2025-03-21,52
182,SKU-3D6M1FMPRY,WH-TX-03,322,74,75,2025-03-13,248
183,SKU-B4XGMPW5D3,WH-CA-04,425,183,40,2025-03-04,242
184,SKU-GRF1HX6ZDC,WH-TX-03,351,36,40,2025-03-16,315
185,SKU-X0PKOVTRPY,WH-NJ-01,223,182,50,2025-09-20,41
186,SKU-K5J42OI6OA,WH-TX-03,496,35,20,2025-04-08,461
187,SKU-YTJUQ7X7B7,WH-NJ-01,93,9,75,2025-03-26,84
188,SKU-8UA3A6S5ZX,WH-CA-04,58,69,30,2025-11-21,0
189,SKU-3ZMF8MDD4V,WH-NJ-01,177,117,30,2025-11-02,60
190,SKU-A1WJ0TPAC5,WH-NJ-01,460,190,75,2025-09-30,270
191,SKU-OAU8P1WKIS,WH-CA-04,289,161,75,2025-05-29,128
192,SKU-E4PA8HYEXF,WH-CA-04,111,94,30,2025-01-06,17
193,SKU-Y9V86WZS3T,WH-NJ-01,323,71,20,2025-04-19,252
194,SKU-XYVGIUI9KK,WH-NC-02,181,144,100,2025-07-18,37
195,SKU-DW2ZCFZW0L,WH-NC-02,465,122,50,2025-11-27,343
196,SKU-MMXIXV6CKM,WH-NJ-01,223,60,50,2025-12-04,163
197,SKU-ES6M033IFH,WH-TX-03,397,145,50,2025-02-07,252
198,SKU-QVR1H61IAO,WH-NJ-01,159,188,75,2025-11-15,0
199,SKU-ZOD05JH2MK,WH-NJ-01,453,35,30,2025-05-08,418
200,SKU-V4KFQ5DZ53,WH-TX-03,362,180,30,2025-05-20,182
201,SKU-NCBEKGV1BB,WH-CA-04,336,160,30,2025-09-05,176
202,SKU-2WSPOFV177,WH-NJ-01,263,150,100,2025-09-16,113
203,SKU-5HHIWFD7YX,WH-NC-02,162,191,30,2025-05-27,0
204,SKU-A27F8LWVV5,WH-CA-04,279,37,30,2025-12-09,242
205,SKU-M0L2LJK4Q5,WH-CA-04,2,196,40,2025-07-14,0
206,SKU-HH5LF6A4FE,WH-NJ-01,80,157,100,2025-08-03,0
207,SKU-V283BDW56F,WH-NC-02,291,143,75,2025-08-29,148
208,SKU-NNV9IBWGT2,WH-TX-03,178,181,100,2025-05-13,0
209,SKU-DIMSYJ9BOQ,WH-TX-03,359,186,75,2025-01-29,173
210,SKU-JTGQ01TEE1,WH-TX-03,336,103,40,2025-04-08,233
211,SKU-45BM1ENF31,WH-NC-02,440,91,50,2025-12-30,349
212,SKU-IYM90PKR1I,WH-CA-04,314,5,20,2025-07-01,309
213,SKU-KBCBDPDXUJ,WH-CA-04,93,132,100,2025-06-01,0
214,SKU-S0R778NRXV,WH-NJ-01,216,91,75,2025-04-13,125
215,SKU-KBRH7LAY64,WH-CA-04,21,0,75,2025-10-15,21
216,SKU-J2QP89UZFK,WH-CA-04,420,13,40,2025-08-23,407
217,SKU-TK4GC4RYG9,WH-TX-03,458,82,75,2025-05-13,376
218,SKU-5M9J98CWN2,WH-TX-03,125,30,75,2025-08-18,95
219,SKU-Y4KL9ARYEA,WH-TX-03,267,178,50,2025-02-04,89
220,SKU-W9HEYCE4QG,WH-CA-04,404,120,40,2025-12-24,284
221,SKU-SKP6RFE64S,WH-NJ-01,142,78,100,2025-03-21,64
222,SKU-6APFXI5N53,WH-CA-04,267,146,75,2025-12-21,121
223,SKU-ACT49LNY2S,WH-NJ-01,341,101,30,2025-08-30,240
224,SKU-2K8RYQF8WX,WH-CA-04,102,31,40,2025-12-10,71
225,SKU-PUU62RZV1S,WH-NC-02,55,56,50,2025-05-13,0
226,SKU-8HMBR5XQT4,WH-CA-04,226,30,100,2025-01-09,196
227,SKU-XNQXU71SEL,WH-NC-02,105,57,20,2025-09-10,48
228,SKU-GO8JN42X2E,WH-NJ-01,143,153,75,2025-02-02,0
229,SKU-VB66H3REM5,WH-CA-04,32,47,30,2025-12-13,0
230,SKU-4A3YJTU7FB,WH-CA-04,116,122,30,2025-07-06,0
231,SKU-97PWDBOLWI,WH-NJ-01,170,40,20,2025-01-11,130
232,SKU-K5J42OI6OA,WH-TX-03,304,152,40,2025-03-10,152
233,SKU-D0771HLL9R,WH-TX-03,333,174,50,2025-05-18,159
234,SKU-0WFOY4DD1V,WH-NC-02,17,181,75,2025-05-11,0
235,SKU-CSK30LVYLK,WH-CA-04,235,120,75,2025-09-08,115
236,SKU-ZBIKCIDKWN,WH-TX-03,399,184,100,2025-05-03,215
237,SKU-AN085RNTDR,WH-NJ-01,167,199,75,2025-09-30,0
238,SKU-3ASNRM6DFH,WH-NJ-01,450,60,30,2025-08-31,390
239,SKU-4KEK4AEGVF,WH-CA-04,362,131,40,2025-06-11,231
240,SKU-QHRRPZLK3E,WH-NC-02,445,158,20,2025-04-05,287
241,SKU-79955CF72G,WH-NJ-01,345,119,40,2025-06-11,226
242,SKU-GUWJP0QI2C,WH-CA-04,334,95,50,2025-11-19,239
243,SKU-NZRF5A7QY8,WH-NC-02,355,111,50,2025-10-11,244
244,SKU-UVY8N1UTOX,WH-TX-03,154,194,20,2025-12-27,0
245,SKU-U43QLX3F2X,WH-CA-04,239,40,30,2025-08-17,199
246,SKU-3N3BZT9D31,WH-NC-02,117,25,100,2025-04-26,92
247,SKU-ZBIKCIDKWN,WH-NJ-01,375,195,20,2025-08-09,180
248,SKU-1T2TALA753,WH-TX-03,382,193,100,2025-06-18,189
249,SKU-ETUK1OOA35,WH-NJ-01,80,18,50,2025-11-11,62
250,SKU-LHYL2LD05N,WH-NJ-01,397,86,30,2025-11-26,311
251,SKU-XVA1NKBTFS,WH-TX-03,449,24,40,2025-05-25,425
252,SKU-BYGHGK5BWI,WH-CA-04,410,46,50,2025-10-13,364
253,SKU-TK4GC4RYG9,WH-CA-04,309,198,30,2025-07-01,111
254,SKU-ZWKXXJVE3D,WH-CA-04,494,7,30,2025-11-04,487
255,SKU-6DDFGS3JON,WH-NJ-01,343,2,75,2025-10-02,341
256,SKU-UKX496K4O6,WH-NJ-01,443,32,40,2025-02-06,411
257,SKU-493WXA73JG,WH-CA-04,167,111,30,2025-12-29,56
258,SKU-9XXAYPNTRF,WH-CA-04,172,155,20,2025-02-05,17
259,SKU-XPJ4HNRIUU,WH-TX-03,354,21,100,2025-03-09,333
260,SKU-6L01WCNKFH,WH-NJ-01,323,98,40,2025-12-26,225
261,SKU-G1ZHQUNUE7,WH-NC-02,217,97,40,2025-05-01,120
262,SKU-AITMOFMMWI,WH-CA-04,227,29,50,2025-06-04,198
263,SKU-A1WJ0TPAC5,WH-CA-04,451,46,40,2025-07-24,405
264,SKU-NZRF5A7QY8,WH-NJ-01,190,163,40,2025-02-13,27
265,SKU-URXHW0IC1L,WH-CA-04,225,58,75,2025-10-16,167
266,SKU-UOV6TT9Q1N,WH-CA-04,460,13,40,2025-03-31,447
267,SKU-CMRSEZYTKW,WH-NJ-01,167,72,100,2025-07-31,95
268,SKU-4V1QX8ERTB,WH-CA-04,296,104,100,2025-03-04,192
269,SKU-LI6978V0BJ,WH-TX-03,188,13,100,2025-03-13,175
270,SKU-7W7JP61LFC,WH-NC-02,192,183,30,2025-12-02,9
271,SKU-1P0VUH17J8,WH-NJ-01,0,151,20,2025-10-17,0
272,SKU-EB8753AYEQ,WH-TX-03,8,48,100,2025-01-27,0
273,SKU-ZEBU2Y0OY5,WH-NJ-01,74,170,75,2025-12-28,0
274,SKU-5P03WVPUNW,WH-NJ-01,335,2,75,2025-02-22,333
275,SKU-8LW2LM349E,WH-NJ-01,348,22,75,2025-08-30,326
276,SKU-EH1VR1NECQ,WH-NC-02,483,147,75,2025-10-20,336
277,SKU-BTR23QIUA0,WH-TX-03,142,108,50,2025-04-10,34
278,SKU-I15CQZCUCT,WH-NC-02,314,142,75,2025-03-20,172
279,SKU-HSAHXTHV3A,WH-NJ-01,486,42,50,2025-11-22,444
280,SKU-HEJLA0GNZS,WH-CA-04,193,70,50,2025-03-31,123
281,SKU-T43PT5R5RC,WH-NC-02,9,160,40,2025-01-25,0
282,SKU-1TH1XJG2Y8,WH-CA-04,432,54,20,2025-06-10,378
283,SKU-RTJ5PHT0HL,WH-NJ-01,138,125,40,2025-07-14,13
284,SKU-JIPNF8F3GR,WH-CA-04,29,81,50,2025-07-20,0
285,SKU-4A1X7OV6SG,WH-NC-02,278,40,40,2025-06-15,238
286,SKU-F86LTHET25,WH-TX-03,277,145,30,2025-08-10,132
287,SKU-0982N2ATQY,WH-CA-04,434,130,75,2025-10-10,304
288,SKU-IUDUAHGK6T,WH-NC-02,41,2,75,2025-01-13,39
289,SKU-38DALY8OZC,WH-TX-03,227,99,50,2025-12-09,128
290,SKU-7BXCD20J1O,WH-NJ-01,284,143,40,2025-12-21,141
291,SKU-ZN9DDE3CUP,WH-TX-03,428,170,30,2025-09-03,258
292,SKU-7UJODCK828,WH-NJ-01,479,22,30,2025-03-29,457
293,SKU-JTGQ01TEE1,WH-NC-02,416,142,100,2025-05-20,274
294,SKU-M08TV4REAS,WH-NC-02,422,126,30,2025-11-06,296
295,SKU-VEDHR3PCEO,WH-TX-03,200,57,50,2025-09-13,143
296,SKU-HF4ABUFWBU,WH-NC-02,320,167,100,2025-10-03,153
297,SKU-EB8753AYEQ,WH-NC-02,209,117,40,2025-05-26,92
298,SKU-TZ0YNCXLL4,WH-NJ-01,177,165,30,2025-01-07,12
299,SKU-0Q7TW1PUWS,WH-NC-02,367,116,30,2025-09-03,251
300,SKU-Z0HR9T9CD1,WH-CA-04,85,81,40,2025-12-12,4
301,SKU-QACJ4T0SEK,WH-NJ-01,47,101,40,2025-07-23,0
302,SKU-UT076G5G79,WH-CA-04,292,133,75,2025-08-28,159
303,SKU-ATATJ9A3Y3,WH-TX-03,205,107,20,2025-04-04,98
304,SKU-SQT26Q3XLR,WH-CA-04,341,45,20,2025-11-06,296
305,SKU-QACJ4T0SEK,WH-NC-02,416,5,30,2025-01-08,411
306,SKU-P6NLNQBU4K,WH-TX-03,389,122,40,2025-06-19,267
307,SKU-F86LTHET25,WH-NC-02,346,91,75,2025-04-29,255
308,SKU-2P2TIXC7UR,WH-TX-03,325,147,50,2025-09-03,178
309,SKU-02G3YU6VK0,WH-TX-03,310,18,20,2025-05-08,292
310,SKU-6HID25OWF7,WH-NJ-01,427,13,100,2025-08-10,414
311,SKU-SMADO8E7FL,WH-CA-04,305,64,20,2025-03-04,241
312,SKU-D84U89YJB1,WH-NC-02,309,95,40,2025-04-27,214
313,SKU-AHTHSJR0FZ,WH-TX-03,190,156,50,2025-04-19,34
314,SKU-2LR0JY32HO,WH-NJ-01,360,158,20,2025-08-22,202
315,SKU-7VSYJAFCO3,WH-TX-03,15,152,75,2025-07-24,0
316,SKU-WNPR424TKB,WH-CA-04,127,198,20,2025-03-29,0
317,SKU-3SR5RUP13W,WH-TX-03,302,45,40,2025-11-21,257
318,SKU-L0IJKCU5X0,WH-CA-04,184,179,40,2025-08-28,5
319,SKU-0P92K38P6F,WH-TX-03,129,15,100,2025-07-17,114
320,SKU-Y8NYFWDC11,WH-CA-04,164,107,100,2025-01-04,57
321,SKU-H62MYZ9VLU,WH-NC-02,92,138,50,2025-04-16,0
322,SKU-Z8UUG95RLR,WH-CA-04,278,17,20,2025-04-17,261
323,SKU-9OI0D4DMC2,WH-CA-04,212,107,50,2025-09-09,105
324,SKU-4ORAC8CYNL,WH-NC-02,140,183,20,2025-07-05,0
325,SKU-2292MTR6SN,WH-CA-04,114,183,30,2025-08-14,0
326,SKU-ATATJ9A3Y3,WH-TX-03,320,184,20,2025-01-21,136
327,SKU-8HMBR5XQT4,WH-TX-03,476,68,40,2025-06-03,408
328,SKU-NAM148P0TV,WH-TX-03,303,119,40,2025-08-12,184
329,SKU-1BJ9RM7PYX,WH-NC-02,6,193,30,2025-03-27,0
330,SKU-BTI22NV01Z,WH-CA-04,414,87,20,2025-02-10,327
331,SKU-QQNVCEQFGA,WH-CA-04,446,89,20,2025-11-30,357
332,SKU-GLH62C9T19,WH-TX-03,428,15,40,2025-06-21,413
333,SKU-CYWE3DKS4F,WH-CA-04,55,101,30,2025-06-09,0
334,SKU-P9LBSMWPQ8,WH-TX-03,191,133,40,2025-06-09,58
335,SKU-9382KKZMPJ,WH-TX-03,21,179,30,2025-02-20,0
336,SKU-VSLWF90KM3,WH-TX-03,318,124,40,2025-04-28,194
337,SKU-JZC58CU47S,WH-NC-02,79,119,75,2025-10-07,0
338,SKU-30T9NT3W5U,WH-NJ-01,283,182,20,2025-06-21,101
339,SKU-M6MG87OI0E,WH-NJ-01,427,75,50,2025-11-28,352
340,SKU-O119XP9N56,WH-CA-04,102,72,75,2025-03-25,30
341,SKU-5Y6Q8SJY5O,WH-TX-03,216,176,40,2025-10-20,40
342,SKU-UCC1M3O55I,WH-NJ-01,141,199,30,2025-12-06,0
343,SKU-OM2ZKF5B1S,WH-NJ-01,497,183,50,2025-03-07,314
344,SKU-Z0HR9T9CD1,WH-CA-04,84,40,30,2025-09-27,44
345,SKU-ZEGBL2QGV3,WH-NC-02,402,198,100,2025-12-10,204
346,SKU-ECUBODS1EE,WH-CA-04,443,105,30,2025-09-28,338
347,SKU-B4XGMPW5D3,WH-CA-04,76,183,100,2025-03-02,0
348,SKU-Q46NOUHFJ7,WH-TX-03,257,120,100,2025-06-26,137
349,SKU-NOU3DYMS1M,WH-NC-02,306,88,20,2025-12-20,218
350,SKU-F5EHLH07JR,WH-CA-04,227,190,40,2025-04-27,37
