order_id,customer_id,order_date,channel,subtotal,discount,tax,total
100074,605,2025-06-01,Store,122.62,5,10.57,128.19
100075,984,2024-04-12,Mobile,135.95,0,7.92,143.87
100076,22,2024-01-10,Mobile,210.69,0,13.34,224.03
100077,450,2025-08-05,Web,63.28,0,5.21,68.49
100078,172,2024-03-30,Mobile,28.11,10,1.51,19.62
100079,383,2024-08-13,Partner,167.23,20,14.47,161.7
100080,134,2025-10-31,Store,32.88,0,2.71,35.59
100081,426,2024-05-05,Web,164.5,0,13.63,178.13
100082,25,2024-07-27,Web,23.87,0,1.3,25.17
100083,503,2024-04-06,Web,30.61,0,2.52,33.13
100084,185,2024-03-14,Store,58.11,5,4.68,57.79
100085,85,2025-09-18,Mobile,160.23,0,14.0,174.23
100086,567,2024-07-09,Web,285.1,15,14.79,284.89
100087,763,2025-11-12,Web,135.79,0,6.93,142.72
100088,144,2025-12-16,Web,60.07,15,4.01,49.08
100089,863,2024-02-25,Web,188.4,10,10.68,189.08
100090,910,2025-12-20,Store,23.11,10,1.74,14.85
100091,679,2025-07-06,Mobile,44.41,5,4.05,43.46
100092,412,2024-02-01,Web,106.29,5,7.19,108.48
100093,224,2025-06-10,Mobile,171.05,5,15.06,181.11
100094,220,2025-07-27,Web,84.69,5,4.24,83.93
100095,179,2025-10-28,Partner,77.68,5,4.47,77.15
100096,631,2024-10-10,Web,81.36,20,4.18,65.54
100097,433,2025-12-21,Web,209.42,5,13.56,217.98
100098,265,2025-05-08,Web,51.98,10,4.72,46.7
100099,954,2024-07-05,Mobile,41.73,10,2.27,34.0
100100,429,2025-05-12,Mobile,80.35,0,6.21,86.56
100101,662,2025-03-17,Mobile,229.24,0,16.12,245.36
100102,416,2024-05-09,Web,57.27,0,5.28,62.55
100103,453,2025-09-30,Web,81.16,0,4.51,85.67
100104,727,2024-10-18,Web,22.71,10,1.35,14.06
100105,197,2024-04-23,Mobile,83.87,0,4.3,88.17
100106,554,2024-07-17,Web,118.31,5,8.23,121.54
100107,53,2024-01-13,Mobile,32.93,0,2.06,34.99
100108,480,2024-09-27,Store,209.69,0,18.69,228.38
100109,443,2025-08-23,Store,117.19,5,9.05,121.24
100110,330,2024-08-02,Web,65.02,10,5.05,60.07
100111,251,2025-03-19,Web,117.84,0,8.71,126.55
100112,807,2025-05-26,Web,141.55,5,7.66,144.21
100113,890,2025-03-22,Mobile,16.54,5,1.16,12.7
100114,783,2025-12-15,Store,121.18,0,11.51,132.69
100115,967,2024-03-14,Web,223.84,0,19.61,243.45
100116,925,2025-06-20,Web,51.34,20,4.63,35.97
100117,123,2024-04-10,Store,66.17,0,5.76,71.93
100118,879,2024-06-24,Store,75.45,0,4.12,79.57
100119,387,2025-03-02,Web,172.38,0,10.38,182.76
100120,339,2024-04-26,Mobile,38.57,5,1.93,35.5
100121,778,2024-06-14,Web,136.93,5,8.72,140.65
100122,348,2024-02-10,Web,76.59,5,4.2,75.79
100123,29,2025-03-04,Store,293.92,0,20.95,314.87
100124,975,2024-12-09,Store,80.19,10,6.45,76.64
100125,35,2025-02-27,Mobile,8.04,0,0.72,8.76
100126,518,2024-12-31,Web,155.47,0,13.02,168.49
100127,396,2024-04-29,Store,131.99,0,12.17,144.16
100128,623,2025-08-31,Web,113.55,0,5.95,119.5
100129,294,2025-10-18,Web,219.75,10,11.11,220.86
100130,589,2025-12-28,Mobile,19.37,15,1.54,5.91
100131,349,2024-08-16,Web,45.01,0,2.84,47.85
100132,147,2024-05-09,Mobile,96.46,10,5.92,92.38
100133,67,2024-12-17,Mobile,109.1,10,7.08,106.18
100134,904,2024-11-13,Web,85.98,15,5.34,76.32
100135,520,2025-10-10,Web,23.08,0,1.69,24.77
100136,122,2024-12-02,Web,66.71,5,4.66,66.37
100137,340,2024-09-29,Web,280.48,0,20.49,300.97
100138,175,2024-04-26,Mobile,36.85,10,2.96,29.81
100139,900,2025-01-02,Store,94.83,0,6.39,101.22
100140,691,2024-04-03,Web,137.3,5,8.42,140.72
100141,597,2024-06-16,Web,168.93,0,9.71,178.64
100142,451,2025-12-15,Mobile,154.95,0,10.18,165.13
100143,557,2024-12-06,Store,62.76,5,5.23,62.99
100144,136,2025-10-22,Web,44.83,10,3.77,38.6
100145,855,2025-11-25,Web,295.46,5,23.64,314.1
100146,16,2024-05-31,Mobile,180.46,10,10.92,181.38
100147,333,2025-08-08,Web,101.81,0,7.78,109.59
100148,195,2024-09-30,Web,245.4,0,18.57,263.97
100149,496,2025-07-07,Mobile,28.28,0,2.03,30.31
100150,9,2025-05-10,Mobile,8.38,0,0.63,9.01
100151,828,2025-12-24,Mobile,108.18,5,7.8,110.98
100152,334,2024-04-10,Mobile,112.02,5,8.45,115.47
100153,333,2025-07-10,Mobile,25.69,5,2.11,22.8
100154,327,2024-03-22,Web,176.01,5,9.67,180.68
100155,15,2025-06-12,Web,13.37,5,1.12,9.49
100156,839,2024-03-13,Web,126.12,0,7.08,133.2
100157,614,2024-01-14,Web,147.37,0,7.81,155.18
100158,226,2025-03-08,Mobile,107.22,5,10.07,112.29
100159,425,2024-06-05,Store,22.1,0,2.06,24.16
100160,790,2024-05-11,Partner,218.18,0,11.5,229.68
100161,408,2024-12-03,Mobile,64.51,0,4.51,69.02
100162,113,2025-02-07,Web,64.68,5,3.78,63.46
100163,997,2025-01-10,Web,54.5,0,3.92,58.42
100164,428,2025-07-12,Store,158.7,5,13.86,167.56
100165,1,2024-04-16,Mobile,62.01,5,5.75,62.76
100166,266,2025-09-11,Mobile,33.65,0,2.64,36.29
100167,491,2024-09-21,Mobile,190.24,10,12.54,192.78
100168,208,2024-07-23,Mobile,93.11,5,7.18,95.29
100169,622,2024-03-19,Store,194.79,5,12.47,202.26
100170,712,2024-06-03,Web,98.45,5,8.95,102.4
100171,952,2024-09-03,Mobile,51.37,0,4.58,55.95
100172,369,2025-06-14,Store,15.92,5,1.2,12.12
100173,985,2025-06-21,Web,108.52,0,7.01,115.53
100174,306,2025-12-29,Mobile,75.58,15,4.78,65.36
100175,12,2024-06-02,Web,163.31,10,8.41,161.72
100176,345,2024-06-02,Partner,59.64,5,5.17,59.81
100177,465,2025-11-16,Web,128.88,0,9.06,137.94
100178,700,2024-04-01,Mobile,95.42,0,6.17,101.59
100179,666,2025-03-08,Web,47.52,0,3.38,50.9
100180,494,2024-12-03,Mobile,63.67,0,5.53,69.2
100181,368,2025-04-24,Web,27.65,0,1.54,29.19
100182,846,2025-11-23,Web,309.01,0,27.38,336.39
100183,937,2024-05-10,Web,126.89,0,11.47,138.36
100184,420,2025-03-25,Store,25.81,20,2.39,8.2
100185,889,2024-09-29,Web,298.68,0,20.28,318.96
100186,791,2025-08-10,Web,36.38,15,2.17,23.55
100187,171,2024-06-25,Mobile,58.78,15,3.93,47.71
100188,134,2025-11-26,Mobile,80.01,0,5.2,85.21
100189,965,2025-10-04,Store,97.19,5,5.63,97.82
100190,427,2024-02-18,Web,160.29,0,12.39,172.68
100191,25,2025-07-20,Mobile,11.91,5,0.85,7.76
100192,530,2025-10-27,Web,98.36,0,8.75,107.11
100193,190,2024-12-20,Web,76.77,0,3.95,80.72
100194,141,2025-12-12,Mobile,109.98,5,8.69,113.67
100195,555,2024-11-03,Mobile,73.78,0,6.22,80.0
100196,846,2025-09-21,Mobile,66.04,5,5.56,66.6
100197,796,2024-02-15,Web,87.41,0,7.86,95.27
100198,658,2024-10-28,Web,287.91,0,23.84,311.75
100199,315,2025-02-11,Web,67.1,0,6.16,73.26
100200,444,2024-07-07,Partner,211.57,0,13.75,225.32
100201,319,2024-05-08,Web,106.55,0,7.74,114.29
100202,441,2025-07-14,Web,102.88,0,5.21,108.09
100203,92,2025-06-20,Web,110.76,0,5.57,116.33
100204,179,2024-09-22,Mobile,136.98,10,8.33,135.31
100205,56,2024-04-27,Web,71.42,0,3.89,75.31
100206,155,2025-04-08,Store,201.84,5,12.46,209.3
100207,672,2024-05-23,Web,137.22,0,7.95,145.17
100208,111,2025-03-17,Store,30.16,10,1.55,21.71
100209,137,2024-07-18,Web,8.14,0,0.74,8.88
100210,232,2024-06-05,Mobile,282.1,0,14.21,296.31
100211,992,2025-05-01,Store,113.37,0,9.42,122.79
100212,468,2024-05-13,Web,26.61,0,1.51,28.12
100213,732,2024-05-27,Partner,67.02,5,6.1,68.12
100214,481,2024-12-01,Web,180.4,0,16.27,196.67
100215,68,2024-03-11,Store,83.42,20,6.63,70.05
100216,814,2024-08-20,Mobile,89.42,0,7.18,96.6
100217,249,2024-11-29,Web,157.97,0,7.94,165.91
100218,994,2025-10-27,Web,121.41,5,11.45,127.86
100219,323,2024-03-30,Web,144.4,0,12.92,157.32
100220,922,2024-11-29,Web,156.81,10,14.16,160.97
100221,904,2024-07-17,Web,52.63,0,4.19,56.82
100222,518,2024-06-09,Web,57.01,5,3.74,55.75
100223,976,2025-06-21,Web,47.25,0,4.26,51.51
100224,792,2024-04-30,Mobile,59.71,10,3.77,53.48
100225,432,2024-10-27,Web,86.75,5,6.53,88.28
100226,487,2025-12-24,Web,91.72,0,5.0,96.72
100227,606,2025-07-28,Mobile,240.43,0,22.0,262.43
100228,429,2025-03-11,Web,117.21,0,6.6,123.81
100229,269,2024-03-08,Web,88.08,20,5.3,73.38
100230,709,2025-04-03,Web,38.49,0,2.89,41.38
100231,537,2025-05-28,Store,75.03,0,6.33,81.36
100232,148,2025-02-01,Store,296.21,0,23.07,319.28
100233,118,2025-09-11,Web,293.14,0,17.72,310.86
100234,850,2024-10-12,Mobile,74.29,5,3.72,73.01
100235,367,2025-07-14,Mobile,18.37,15,1.54,4.91
100236,850,2024-05-19,Mobile,66.53,0,6.28,72.81
100237,66,2025-12-30,Mobile,242.18,10,20.94,253.12
100238,970,2025-07-09,Mobile,87.22,0,6.17,93.39
100239,813,2025-08-12,Web,158.08,0,14.33,172.41
100240,370,2025-12-28,Web,95.16,0,6.51,101.67
100241,175,2025-09-01,Web,24.46,5,1.8,21.26
100242,831,2024-10-08,Store,97.75,15,6.99,89.74
100243,588,2025-10-22,Mobile,172.86,10,12.12,174.98
100244,495,2025-07-31,Store,59.01,0,5.01,64.02
100245,973,2025-04-01,Partner,169.74,0,12.51,182.25
100246,114,2024-03-27,Web,102.46,0,6.58,109.04
100247,111,2024-03-19,Mobile,163.54,15,10.08,158.62
100248,761,2024-07-23,Mobile,122.68,10,6.34,119.02
100249,439,2024-12-02,Partner,40.9,10,3.12,34.02
100250,715,2024-09-10,Partner,75.65,0,4.57,80.22
100251,147,2024-10-30,Mobile,73.7,0,4.18,77.88
100252,35,2025-01-14,Web,56.66,0,4.5,61.16
100253,999,2024-05-09,Mobile,115.74,0,9.33,125.07
100254,309,2025-08-18,Web,331.23,0,27.77,359.0
100255,538,2024-10-02,Mobile,202.02,0,14.68,216.7
100256,750,2025-11-29,Store,220.44,0,19.89,240.33
100257,14,2025-07-11,Web,53.75,10,4.95,48.7
100258,374,2024-07-01,Mobile,222.89,10,19.24,232.13
100259,557,2024-09-24,Web,273.06,0,21.46,294.52
100260,428,2024-11-17,Web,52.23,0,3.33,55.56
100261,728,2025-05-26,Web,132.67,0,12.5,145.17
100262,233,2025-09-03,Mobile,135.19,5,8.43,138.62
100263,705,2024-03-18,Store,80.06,10,4.73,74.79
100264,563,2024-12-04,Store,109.04,10,7.62,106.66
100265,939,2025-11-04,Web,139.93,5,7.35,142.28
100266,887,2025-07-09,Store,84.33,0,7.93,92.26
100267,726,2025-05-23,Mobile,195.56,0,14.96,210.52
100268,663,2024-08-25,Web,30.33,0,2.28,32.61
100269,440,2024-05-13,Web,73.45,0,5.84,79.29
100270,502,2024-07-10,Web,160.28,10,11.6,161.88
100271,275,2024-12-21,Store,308.73,0,15.88,324.61
100272,850,2024-10-04,Mobile,203.95,0,15.82,219.77
100273,76,2024-01-18,Mobile,107.39,0,8.83,116.22
100274,439,2025-06-07,Web,87.52,20,6.02,73.54
100275,732,2024-06-28,Mobile,76.81,0,6.46,83.27
100276,860,2024-05-02,Web,77.18,5,4.65,76.83
100277,956,2024-09-02,Web,15.8,0,0.95,16.75
100278,699,2025-01-07,Mobile,300.5,0,17.21,317.71
100279,289,2024-02-20,Web,92.63,0,6.18,98.81
100280,915,2024-03-11,Store,49.42,5,4.35,48.77
100281,540,2025-04-24,Web,131.19,0,11.45,142.64
100282,891,2025-07-13,Mobile,52.91,10,3.56,46.47
100283,692,2024-01-19,Web,183.06,0,14.01,197.07
100284,253,2024-03-24,Mobile,50.8,0,4.19,54.99
100285,126,2024-06-03,Web,165.37,15,10.06,160.43
100286,177,2025-07-18,Web,75.92,0,4.37,80.29
100287,37,2025-09-10,Store,119.03,5,11.16,125.19
100288,410,2024-12-22,Web,174.12,10,13.54,177.66
100289,611,2025-10-08,Store,62.62,0,5.9,68.52
100290,610,2025-03-18,Partner,171.23,5,11.16,177.39
100291,127,2024-03-09,Web,16.64,0,1.36,18.0
100292,483,2025-06-06,Web,259.29,0,15.56,274.85
100293,168,2024-05-22,Mobile,191.75,0,11.84,203.59
100294,592,2024-07-10,Partner,90.2,10,6.59,86.79
100295,294,2025-01-21,Store,215.32,0,13.86,229.18
100296,845,2025-01-12,Mobile,200.44,5,11.53,206.97
100297,638,2025-08-03,Mobile,96.6,15,5.97,87.57
100298,343,2025-06-18,Web,95.82,0,4.95,100.77
100299,310,2025-11-23,Partner,44.22,0,3.61,47.83
100300,662,2024-10-19,Partner,100.57,0,7.26,107.83
100301,528,2024-01-09,Web,23.63,0,1.28,24.91
100302,540,2024-09-27,Web,163.96,0,9.46,173.42
100303,419,2025-01-21,Web,166.41,5,9.09,170.5
100304,444,2024-04-02,Web,16.93,20,1.31,-1.76
100305,685,2025-06-12,Store,242.99,15,13.18,241.17
100306,558,2024-06-02,Web,58.11,10,4.88,52.99
100307,840,2025-02-08,Web,517.09,10,26.33,533.42
100308,236,2024-05-28,Web,114.57,0,7.01,121.58
100309,439,2024-09-23,Partner,244.57,5,22.03,261.6
100310,214,2025-02-25,Mobile,42.94,10,3.54,36.48
100311,85,2025-09-09,Web,75.79,0,4.04,79.83
100312,794,2025-04-16,Web,62.35,15,5.42,52.77
100313,744,2025-06-30,Partner,23.17,0,1.67,24.84
100314,85,2025-09-22,Store,30.42,5,2.68,28.1
100315,921,2025-06-09,Web,87.52,5,6.74,89.26
100316,489,2025-05-17,Web,127.95,15,10.32,123.27
100317,65,2024-01-14,Web,38.84,0,3.68,42.52
100318,646,2025-10-13,Web,72.11,5,4.36,71.47
100319,663,2024-12-29,Mobile,52.67,0,4.11,56.78
100320,627,2024-04-28,Store,92.09,0,6.51,98.6
100321,64,2024-08-25,Web,155.37,10,8.04,153.41
100322,343,2025-06-29,Store,104.59,5,5.3,104.89
100323,939,2024-06-17,Web,60.14,5,3.33,58.47
100324,875,2025-06-05,Mobile,195.98,0,15.52,211.5
100325,919,2025-09-25,Mobile,124.98,0,9.44,134.42
100326,352,2025-10-18,Web,106.89,5,8.01,109.9
100327,158,2025-05-30,Web,39.3,0,2.02,41.32
100328,589,2025-01-31,Mobile,182.13,0,12.95,195.08
100329,491,2024-04-15,Web,134.11,15,12.29,131.4
100330,658,2024-03-25,Web,139.11,0,9.44,148.55
100331,855,2024-08-01,Mobile,81.06,5,6.33,82.39
100332,463,2024-04-30,Partner,70.02,0,5.96,75.98
100333,225,2024-05-11,Web,301.51,0,25.71,327.22
100334,917,2024-07-15,Store,69.16,0,5.07,74.23
100335,313,2024-01-19,Web,32.33,0,2.86,35.19
100336,615,2025-10-03,Mobile,110.9,0,7.5,118.4
100337,919,2024-01-12,Mobile,95.99,0,8.64,104.63
100338,859,2024-03-21,Store,202.0,0,12.28,214.28
100339,813,2024-11-25,Web,85.96,0,5.38,91.34
100340,940,2025-01-26,Mobile,151.92,0,7.96,159.88
100341,466,2025-09-28,Mobile,254.1,0,21.8,275.9
100342,88,2024-11-02,Web,128.57,0,8.84,137.41
100343,883,2024-09-23,Web,41.14,15,2.48,28.62
100344,303,2025-03-22,Web,131.18,5,7.93,134.11
100345,680,2025-03-16,Web,73.12,5,6.62,74.74
100346,435,2025-10-13,Store,116.5,0,10.2,126.7
100347,682,2024-01-02,Web,96.54,15,7.23,88.77
100348,135,2025-06-03,Web,31.67,5,2.46,29.13
100349,50,2025-10-12,Mobile,85.59,10,6.11,81.7
100350,432,2025-09-27,Web,39.04,0,2.64,41.68
100351,340,2024-11-04,Mobile,64.96,15,5.92,55.88
100352,347,2025-06-05,Web,181.72,10,10.11,181.83
100353,646,2025-04-13,Partner,102.3,10,7.04,99.34
100354,347,2024-07-30,Store,145.59,0,9.54,155.13
100355,649,2024-04-21,Store,108.54,0,7.86,116.4
100356,245,2024-01-08,Web,77.28,0,5.46,82.74
100357,109,2025-04-21,Mobile,116.74,0,8.56,125.3
100358,825,2025-04-04,Web,19.6,10,1.1,10.7
100359,799,2024-09-09,Web,164.35,0,12.01,176.36
100360,533,2025-06-09,Web,48.21,0,2.94,51.15
100361,90,2025-03-13,Mobile,139.26,0,8.12,147.38
100362,296,2025-10-22,Web,74.88,0,3.96,78.84
100363,112,2024-08-23,Mobile,31.69,0,2.67,34.36
100364,813,2024-11-01,Web,55.8,10,3.86,49.66
100365,589,2025-04-22,Web,139.77,5,10.93,145.7
100366,177,2025-11-09,Mobile,366.48,0,30.32,396.8
100367,343,2024-01-20,Web,91.94,0,7.41,99.35
100368,660,2024-08-03,Mobile,338.5,0,24.09,362.59
100369,101,2024-05-14,Web,19.54,0,1.32,20.86
100370,758,2024-05-08,Store,79.52,5,5.32,79.84
100371,629,2025-02-13,Mobile,92.0,5,7.25,94.25
100372,604,2025-02-25,Web,144.95,5,10.47,150.42
100373,401,2024-10-20,Web,57.66,5,5.09,57.75
100374,28,2024-09-02,Mobile,124.66,0,11.14,135.8
100375,937,2025-12-01,Store,82.66,15,4.77,72.43
100376,962,2025-07-09,Web,221.71,10,12.44,224.15
100377,537,2024-03-26,Web,110.97,15,8.7,104.67
100378,58,2025-07-09,Store,489.5,0,31.11,520.61
100379,498,2025-01-09,Mobile,83.18,15,4.23,72.41
100380,297,2025-03-21,Web,212.11,10,19.09,221.2
100381,134,2025-01-12,Web,258.44,10,15.56,264.0
100382,331,2025-01-24,Web,5.11,0,0.47,5.58
100383,249,2025-10-18,Mobile,162.91,5,13.4,171.31
100384,550,2024-02-20,Web,80.83,15,6.82,72.65
100385,902,2024-08-29,Partner,36.12,5,2.13,33.25
100386,941,2024-10-20,Web,224.32,5,13.58,232.9
100387,75,2025-07-16,Web,60.52,15,4.45,49.97
100388,654,2024-09-22,Mobile,18.29,0,1.06,19.35
100389,834,2024-04-29,Store,112.96,5,7.2,115.16
100390,168,2025-12-12,Store,246.97,0,15.92,262.89
100391,771,2024-09-04,Web,36.58,15,2.09,23.67
100392,503,2024-03-10,Mobile,177.98,0,10.54,188.52
100393,885,2024-02-26,Mobile,13.13,0,1.12,14.25
100394,355,2025-01-16,Web,258.8,5,14.89,268.69
100395,225,2024-02-08,Web,130.4,10,6.69,127.09
100396,664,2025-03-18,Web,33.0,5,2.58,30.58
100397,531,2024-01-18,Web,166.89,15,15.67,167.56
100398,146,2024-12-17,Store,63.44,15,4.12,52.56
100399,960,2024-10-24,Web,44.26,0,2.45,46.71
100400,241,2024-10-09,Partner,62.29,0,4.71,67.0
100401,884,2025-08-08,Mobile,155.33,0,14.1,169.43
100402,893,2024-04-19,Mobile,41.74,0,3.56,45.3
100403,344,2024-06-28,Mobile,7.72,0,0.6,8.32
100404,749,2025-06-27,Web,65.0,15,4.17,54.17
100405,35,2024-01-25,Web,230.54,10,17.15,237.69
100406,702,2024-02-26,Web,228.47,0,12.36,240.83
100407,1,2024-06-28,Mobile,62.21,0,5.01,67.22
100408,996,2024-08-19,Web,60.36,5,4.99,60.35
100409,153,2024-12-08,Mobile,57.25,0,5.35,62.6
100410,429,2025-04-21,Web,55.11,0,3.4,58.51
100411,945,2025-07-29,Web,58.41,10,2.97,51.38
100412,508,2025-03-30,Web,117.02,15,8.72,110.74
100413,126,2024-08-19,Store,234.3,0,19.17,253.47
100414,491,2024-10-15,Mobile,41.67,10,3.57,35.24
100415,482,2024-07-31,Web,49.11,0,2.88,51.99
100416,345,2024-09-14,Mobile,127.01,5,7.85,129.86
100417,912,2025-06-13,Web,161.64,0,11.81,173.45
100418,738,2025-11-17,Partner,23.62,0,1.53,25.15
100419,221,2024-08-16,Mobile,293.51,15,26.04,304.55
100420,915,2024-08-13,Web,75.22,0,5.36,80.58
100421,919,2025-08-18,Mobile,26.06,5,2.24,23.3
100422,723,2025-03-10,Web,22.42,0,1.71,24.13
100423,25,2025-02-05,Partner,20.99,0,1.78,22.77
100424,528,2025-09-13,Web,209.34,0,13.6,222.94
100425,182,2024-03-28,Mobile,102.94,0,9.0,111.94
100426,499,2025-08-06,Web,210.65,5,13.14,218.79
100427,841,2025-06-25,Mobile,88.68,0,6.61,95.29
100428,641,2025-11-14,Mobile,206.65,5,12.32,213.97
100429,42,2024-11-04,Mobile,86.97,5,6.21,88.18
100430,915,2024-12-08,Mobile,144.51,5,9.29,148.8
100431,481,2025-03-11,Store,93.43,0,5.79,99.22
100432,930,2024-06-25,Web,82.88,15,7.75,75.63
100433,848,2024-05-18,Web,45.53,0,2.6,48.13
100434,748,2024-07-12,Web,158.84,0,13.57,172.41
100435,872,2024-07-04,Partner,36.74,0,3.46,40.2
100436,439,2024-08-05,Web,158.65,0,8.07,166.72
100437,402,2024-06-12,Mobile,106.49,0,8.67,115.16
100438,546,2024-06-09,Mobile,161.65,5,9.92,166.57
100439,345,2025-06-08,Web,113.47,0,5.88,119.35
100440,893,2025-08-23,Web,222.21,0,15.14,237.35
100441,45,2024-02-11,Web,134.6,10,12.39,136.99
100442,646,2024-07-28,Web,108.19,0,5.47,113.66
100443,21,2024-10-01,Web,6.52,0,0.5,7.02
100444,634,2024-10-05,Web,228.34,0,16.57,244.91
100445,70,2024-09-07,Store,20.74,10,1.85,12.59
100446,864,2024-11-05,Partner,28.61,0,1.54,30.15
100447,873,2025-12-20,Web,172.44,0,13.91,186.35
100448,48,2024-05-19,Web,100.09,0,8.07,108.16
100449,491,2025-06-29,Web,21.73,5,1.74,18.47
100450,551,2025-06-13,Mobile,60.29,5,5.57,60.86
100451,287,2024-02-26,Store,220.23,10,19.17,229.4
100452,10,2024-04-21,Web,110.96,0,5.76,116.72
100453,542,2024-01-05,Web,101.98,0,7.26,109.24
100454,756,2025-02-13,Mobile,54.13,0,3.68,57.81
100455,274,2025-02-17,Mobile,176.73,0,11.3,188.03
100456,956,2024-06-30,Web,90.76,0,6.38,97.14
100457,600,2024-01-13,Mobile,154.31,0,10.38,164.69
100458,756,2024-12-04,Web,49.34,0,3.43,52.77
100459,381,2024-09-15,Web,367.78,5,34.6,397.38
100460,329,2024-03-30,Mobile,247.81,0,13.38,261.19
100461,479,2025-09-07,Store,110.07,5,10.07,115.14
100462,15,2025-11-28,Web,128.53,0,9.2,137.73
100463,516,2024-09-06,Store,60.78,0,4.74,65.52
100464,191,2024-09-11,Web,163.09,0,14.25,177.34
100465,168,2025-08-10,Mobile,8.75,0,0.58,9.33
100466,521,2024-04-17,Web,290.51,0,20.15,310.66
100467,621,2025-10-29,Store,156.45,0,10.71,167.16
100468,137,2025-08-16,Store,40.89,15,2.73,28.62
100469,154,2025-08-11,Web,285.8,5,26.19,306.99
