reading_id,device_id,timestamp,temperature_c,humidity_pct,battery_v
71,DEV-0DPJHS,2025-04-03 21:11:21,18.37,55.16,3.17
72,DEV-UWDKEJ,2025-06-08 00:00:30,25.38,45.33,4.01
73,DEV-QNRMTN,2025-06-29 16:23:16,24.7,41.26,3.57
74,DEV-LST548,2025-11-02 02:15:32,14.04,62.59,3.87
75,DEV-SJWS1Z,2025-08-06 23:00:05,24.73,38.18,3.89
76,DEV-40ACUH,2025-11-25 15:44:04,19.48,40.47,3.88
77,DEV-PA8JX5,2025-12-19 05:53:47,23.96,65.62,3.42
78,DEV-CEGBMX,2025-12-09 05:11:14,21.69,39.23,3.9
79,DEV-4X6G1E,2025-08-15 19:17:10,24.46,23.91,3.61
80,DEV-JTR0M6,2025-07-31 01:16:36,21.96,28.08,3.68
81,DEV-URI7EV,2025-12-19 04:36:28,17.01,52.72,3.68
82,DEV-SNHFT4,2025-06-12 15:10:54,15.56,34.48,3.58
83,DEV-9UW165,2025-06-07 07:33:46,16.61,61.95,3.64
84,DEV-2HNC0I,2025-04-20 03:27:33,17.55,45.31,3.73
85,DEV-8DKMU6,2025-02-24 16:32:32,23.75,56.43,3.51
86,DEV-GMP9A9,2025-12-16 17:41:32,25.84,50.31,3.37
87,DEV-UWDKEJ,2025-08-02 06:48:44,20.75,60.9,3.88
88,DEV-4X5BWA,2025-12-31 08:50:43,18.42,73.26,3.76
89,DEV-V6YJOA,2025-01-15 17:32:20,22.12,53.47,3.33
90,DEV-9UW165,2025-06-02 03:32:24,14.11,52.74,3.78
91,DEV-ZE66VW,2025-01-20 22:49:06,24.48,61.68,3.66
92,DEV-ZE66VW,2025-02-21 10:48:30,21.71,36.54,3.44
93,DEV-JNMYK8,2025-12-09 02:04:42,22.29,53.12,3.59
94,DEV-AY12TL,2025-11-17 11:08:01,19.85,31.17,3.77
95,DEV-AEJT70,2025-03-25 08:53:44,19.5,33.62,3.5
96,DEV-30KH58,2025-11-22 03:53:50,15.4,37.86,3.5
97,DEV-QFAF5K,2025-08-12 07:04:32,25.47,64.03,3.59
98,DEV-PSALDN,2025-05-09 20:50:48,16.96,42.9,3.51
99,DEV-OUFHW8,2025-12-16 05:17:25,19.12,33.29,3.48
100,DEV-EMC20L,2025-01-16 07:32:15,18.21,56.39,3.48
101,DEV-PSALDN,2025-10-01 17:51:13,25.33,20.29,3.79
102,DEV-OJTXCF,2025-03-18 14:04:37,19.66,16.93,3.52
103,DEV-9B0MQO,2025-10-27 23:47:50,25.85,41.21,3.92
104,DEV-OUFHW8,2025-11-02 22:18:06,24.33,40.97,4.13
105,DEV-I26LH0,2025-04-02 03:48:53,18.22,60.65,3.67
106,DEV-UNQR8O,2025-09-27 17:15:13,21.6,63.01,4.1
107,DEV-EN7YJF,2025-02-21 23:03:36,15.21,43.48,3.81
108,DEV-XEQLEZ,2025-12-15 17:43:52,23.6,41.88,3.73
109,DEV-M3V16X,2025-05-01 00:51:38,19.38,33.36,3.69
110,DEV-WNXFSH,2025-02-19 23:39:20,17.78,43.35,3.31
111,DEV-F309HS,2025-09-30 15:51:59,20.9,6.65,3.61
112,DEV-Z6Y3Z1,2025-04-30 15:31:20,20.14,38.23,3.48
113,DEV-LMFLUO,2025-04-05 15:08:00,23.13,43.79,3.88
114,DEV-AOFC9L,2025-05-29 11:15:46,29.6,33.22,4.04
115,DEV-VNNVBZ,2025-10-16 12:11:27,27.29,35.34,3.74
116,DEV-XEQLEZ,2025-09-14 03:57:30,17.23,40.52,3.75
117,DEV-D0GV81,2025-07-03 10:06:22,28.14,44.9,3.89
118,DEV-7Z4ES3,2025-09-17 13:53:19,22.19,57.94,3.72
119,DEV-IARONT,2025-05-30 13:03:42,11.83,51.4,3.94
120,DEV-SNHFT4,2025-07-24 09:51:12,21.09,58.22,4.17
121,DEV-UXL39D,2025-06-21 01:04:53,15.77,53.59,3.99
122,DEV-5YRG29,2025-11-09 21:25:09,20.25,46.72,3.58
123,DEV-PSALDN,2025-08-10 21:19:59,29.63,78.47,3.87
124,DEV-6XVQPU,2025-06-17 17:14:46,16.76,34.26,3.57
125,DEV-ZM32HZ,2025-09-01 10:21:41,16.64,31.3,3.66
126,DEV-B76AV3,2025-08-06 14:19:54,21.61,42.71,4.03
127,DEV-JBBSXP,2025-02-25 18:41:01,18.73,44.1,3.5
128,DEV-4X6G1E,2025-03-04 11:08:29,20.98,47.07,3.62
129,DEV-PPJ590,2025-04-13 16:24:47,22.43,30.69,3.93
130,DEV-D6LQGA,2025-06-16 22:50:45,16.08,74.36,3.53
131,DEV-D0WPJ8,2025-01-07 11:59:50,22.91,39.82,3.32
132,DEV-HZ72KX,2025-05-22 17:42:02,18.96,30.54,3.4
133,DEV-1P02JY,2025-05-05 00:44:26,26.29,48.96,3.58
134,DEV-GPBKTM,2025-03-31 14:51:53,18.51,61.43,3.69
135,DEV-1JLOPO,2025-11-07 20:11:28,19.15,69.16,3.64
136,DEV-MOWNX2,2025-08-04 19:31:54,18.28,9.03,3.6
137,DEV-J7VBJR,2025-05-03 04:29:29,20.34,56.51,3.72
138,DEV-CEGBMX,2025-07-05 04:54:28,16.24,71.35,3.6
139,DEV-S4I2NR,2025-06-02 23:08:18,24.09,36.07,3.56
140,DEV-I26LH0,2025-09-06 14:23:30,19.89,41.53,3.75
141,DEV-VR5NBH,2025-04-24 05:32:25,25.25,30.77,3.72
142,DEV-2HNC0I,2025-04-06 15:19:19,22.23,36.61,3.9
143,DEV-LMFLUO,2025-07-17 02:47:59,28.85,29.02,4.1
144,DEV-6XVQPU,2025-12-02 05:06:02,20.97,59.02,3.28
145,DEV-VNNVBZ,2025-01-03 03:35:19,20.57,43.41,3.8
146,DEV-I0HN3F,2025-05-29 05:46:40,24.35,0.0,3.73
147,DEV-Z1R2RO,2025-04-21 22:01:34,13.69,35.96,3.96
148,DEV-S4I2NR,2025-01-20 15:10:48,20.08,34.64,3.6
149,DEV-M7VH30,2025-07-22 15:50:26,21.65,57.83,3.62
150,DEV-579WRR,2025-07-01 14:16:16,24.9,43.98,3.44
151,DEV-AMMPQ0,2025-11-27 03:55:56,25.72,43.58,3.91
152,DEV-M7VH30,2025-08-15 11:57:19,26.48,54.64,3.73
153,DEV-AOFC9L,2025-10-19 04:30:39,20.82,60.87,3.93
154,DEV-87H91E,2025-12-24 01:58:09,19.05,49.01,3.61
155,DEV-3AH7U0,2025-03-17 03:36:54,22.24,35.19,3.57
156,DEV-ZE66VW,2025-11-13 13:55:05,20.94,22.42,3.85
157,DEV-8VWCT8,2025-11-12 16:43:31,15.3,66.75,3.63
158,DEV-F309HS,2025-08-11 01:38:37,22.66,95.84,3.83
159,DEV-ZWKHE9,2025-02-05 04:15:50,18.34,46.86,3.8
160,DEV-U4PLLG,2025-11-20 20:47:02,21.09,49.75,3.72
161,DEV-7Z4ES3,2025-10-27 01:35:42,20.85,67.56,3.58
162,DEV-P04SBR,2025-11-29 18:42:55,30.57,19.31,3.77
163,DEV-JDCZ1O,2025-03-31 23:17:51,25.6,59.31,3.55
164,DEV-M3V16X,2025-01-29 22:16:37,24.56,50.64,3.72
165,DEV-4HC7JV,2025-06-25 03:15:43,25.89,33.46,4.04
166,DEV-P5K791,2025-08-08 05:14:51,20.62,37.2,3.95
167,DEV-Y47QUU,2025-05-16 07:54:43,17.02,25.27,3.6
168,DEV-YD52AL,2025-12-18 08:38:55,13.36,61.88,3.75
169,DEV-SJZSB6,2025-06-24 17:47:38,24.16,29.4,3.59
170,DEV-3VEULJ,2025-05-06 03:14:42,24.22,51.18,3.76
171,DEV-D0GV81,2025-06-20 03:33:18,18.96,20.6,3.52
172,DEV-QCNF9W,2025-09-23 12:11:59,19.45,65.92,3.57
173,DEV-G2R0TO,2025-05-14 03:56:38,18.8,41.93,4.07
174,DEV-CZJJY4,2025-09-29 15:25:02,18.8,61.08,3.73
175,DEV-R2OMRD,2025-01-26 08:55:04,19.98,41.82,3.61
176,DEV-JTR0M6,2025-10-04 02:06:43,23.34,35.9,3.27
177,DEV-QCNF9W,2025-04-10 05:16:49,26.25,24.89,3.73
178,DEV-F309HS,2025-12-28 10:44:21,21.91,60.81,4.14
179,DEV-XLZS49,2025-01-30 08:19:25,27.07,39.54,3.59
180,DEV-1P02JY,2025-05-13 06:36:24,31.49,49.45,3.62
181,DEV-S2SUMH,2025-12-17 08:09:00,23.6,34.38,3.71
182,DEV-3B4NTH,2025-05-19 18:48:09,21.75,44.74,3.57
183,DEV-PKN3B8,2025-07-10 19:31:37,12.69,48.08,4.14
184,DEV-P69NGP,2025-07-06 06:32:49,24.42,18.67,3.9
185,DEV-E51K8L,2025-05-20 19:11:42,22.25,34.77,3.84
186,DEV-D2FF5L,2025-11-16 13:43:31,22.35,68.63,4.12
187,DEV-EN7YJF,2025-08-25 07:34:14,21.11,32.74,4.04
188,DEV-PPJ590,2025-10-24 07:32:40,20.26,58.54,3.72
189,DEV-LCG1J5,2025-07-19 03:23:26,18.0,49.89,3.64
190,DEV-SJWS1Z,2025-10-11 12:16:51,25.23,52.67,3.64
191,DEV-6XVQPU,2025-03-21 00:25:33,11.16,54.51,3.59
192,DEV-6YJMK3,2025-09-16 19:45:32,23.77,45.31,3.66
193,DEV-NXNPSV,2025-04-11 11:46:23,15.94,36.46,3.6
194,DEV-S32D1J,2025-02-01 01:45:58,27.12,33.83,3.47
195,DEV-Y47QUU,2025-10-04 15:06:35,20.67,40.04,3.22
196,DEV-CZJJY4,2025-05-01 08:53:55,24.24,63.76,3.91
197,DEV-P5K791,2025-02-24 09:34:19,22.77,24.66,3.17
198,DEV-S4I2NR,2025-01-18 11:28:07,26.78,40.33,3.77
199,DEV-RUMXQW,2025-11-05 05:35:37,29.38,22.28,3.89
200,DEV-Y47QUU,2025-05-01 22:46:57,26.64,36.27,3.79
201,DEV-7XFH41,2025-04-20 10:25:22,24.47,43.14,3.67
202,DEV-3B4NTH,2025-11-27 10:49:01,20.86,65.92,3.74
203,DEV-J35VLW,2025-03-02 11:40:57,23.94,67.55,3.61
204,DEV-IARONT,2025-09-21 08:14:49,26.11,18.04,3.68
205,DEV-MOWNX2,2025-09-25 20:26:28,20.46,22.32,3.64
206,DEV-PA8JX5,2025-10-24 19:47:20,22.27,42.51,3.56
207,DEV-SPJ4KI,2025-05-07 11:17:59,18.95,56.42,3.94
208,DEV-JDCZ1O,2025-05-17 15:57:08,25.47,20.96,3.87
209,DEV-A68T2A,2025-03-19 09:27:25,24.01,39.44,3.67
210,DEV-1L1VJ3,2025-07-26 12:07:51,16.92,60.53,3.71
211,DEV-1KJWV2,2025-07-03 13:01:43,23.35,62.36,3.55
212,DEV-ZE66VW,2025-03-30 13:47:50,21.22,40.43,3.77
213,DEV-5YRG29,2025-11-16 03:15:15,22.51,14.98,3.68
214,DEV-0VHV1N,2025-08-17 06:03:30,19.2,60.74,3.63
215,DEV-P69NGP,2025-03-05 11:16:23,27.27,31.19,3.75
216,DEV-ZE66VW,2025-11-22 18:15:19,19.38,53.07,3.72
217,DEV-P04SBR,2025-02-24 05:45:06,30.5,31.51,3.53
218,DEV-GPBKTM,2025-10-20 05:55:16,22.6,46.51,3.88
219,DEV-6J0M3L,2025-10-08 10:09:55,20.83,49.65,3.9
220,DEV-W5APMX,2025-10-06 16:34:15,23.8,64.26,3.56
221,DEV-P04SBR,2025-07-07 00:41:37,23.24,23.88,4.2
222,DEV-NQY0HU,2025-07-10 03:46:02,29.92,31.78,3.51
223,DEV-3QUPO4,2025-09-30 02:25:57,23.86,69.2,3.82
224,DEV-W5APMX,2025-04-05 02:30:18,14.58,48.47,3.81
225,DEV-SILN3O,2025-03-31 08:07:57,19.46,32.11,3.84
226,DEV-3AH7U0,2025-09-04 12:14:37,25.24,55.84,4.04
227,DEV-D2FF5L,2025-03-16 22:51:09,21.3,30.01,3.65
228,DEV-2U9AZ3,2025-03-03 13:40:50,19.99,47.93,3.71
229,DEV-1JLOPO,2025-08-10 23:14:49,19.32,34.73,3.78
230,DEV-E51K8L,2025-09-24 09:36:12,18.32,63.64,3.36
231,DEV-VMB0ID,2025-05-01 11:40:20,23.02,32.15,3.73
232,DEV-AV6763,2025-11-08 15:54:24,19.34,5.19,3.78
233,DEV-QBKERN,2025-11-05 01:09:30,27.38,38.27,3.56
234,DEV-I0HN3F,2025-12-07 16:30:49,18.68,34.99,4.14
235,DEV-AMMPQ0,2025-01-28 22:52:01,16.79,41.34,3.75
236,DEV-A28DIT,2025-12-08 11:25:47,21.92,53.35,3.55
237,DEV-YD52AL,2025-10-29 12:29:04,13.86,27.27,3.59
238,DEV-GQPQ8R,2025-10-01 06:51:54,12.38,33.34,3.54
239,DEV-IARONT,2025-01-23 13:41:34,24.5,44.91,3.55
240,DEV-1KJWV2,2025-04-09 09:05:11,22.22,35.11,3.77
241,DEV-L7P72L,2025-10-12 00:03:40,13.65,45.98,3.79
242,DEV-M7VH30,2025-11-04 19:22:56,22.36,53.07,3.79
243,DEV-2HNC0I,2025-04-20 11:02:49,20.83,45.2,3.84
244,DEV-9ZXQER,2025-07-22 17:12:29,15.91,61.5,3.78
245,DEV-Z6V7S7,2025-04-16 21:37:08,24.92,30.78,4.14
246,DEV-EWFWBE,2025-02-15 07:56:44,28.07,36.32,3.88
247,DEV-3AH7U0,2025-09-14 04:39:31,29.7,67.4,3.49
248,DEV-8DKMU6,2025-05-24 16:59:42,23.31,33.99,3.71
249,DEV-L88L12,2025-01-25 21:19:19,22.09,81.76,3.47
250,DEV-WZSJQ7,2025-03-03 09:05:14,29.1,59.49,3.7
251,DEV-PFY4QC,2025-08-18 08:27:09,23.01,32.67,3.42
252,DEV-1JLOPO,2025-03-23 10:45:59,20.64,53.78,3.65
253,DEV-WNXFSH,2025-12-02 18:21:35,19.38,49.45,3.68
254,DEV-8DKMU6,2025-07-30 00:30:39,24.21,23.18,3.43
255,DEV-4HC7JV,2025-07-16 18:41:47,15.45,68.16,3.7
256,DEV-IKVREC,2025-12-13 06:55:40,26.64,57.32,3.63
257,DEV-1L1VJ3,2025-07-17 02:07:56,16.44,67.15,3.48
258,DEV-D6LQGA,2025-06-11 23:19:48,18.61,60.7,3.88
259,DEV-A3VF02,2025-07-27 04:41:40,23.24,50.23,3.63
260,DEV-8VWCT8,2025-11-05 17:02:55,28.98,61.2,3.93
261,DEV-CIHDIY,2025-02-13 11:43:00,20.93,24.96,3.74
262,DEV-EGHPMX,2025-10-15 18:23:16,17.8,74.76,3.62
263,DEV-LCG1J5,2025-10-06 18:18:33,26.27,56.18,3.51
264,DEV-P5K791,2025-10-02 03:11:14,20.24,15.7,3.47
265,DEV-YI340S,2025-08-09 00:02:39,15.28,22.59,3.74
266,DEV-OJTXCF,2025-10-12 04:25:29,24.42,49.32,3.77
267,DEV-1P02JY,2025-05-26 10:15:42,21.11,31.66,3.53
268,DEV-NQY0HU,2025-03-10 00:36:39,21.02,52.8,3.46
269,DEV-SILN3O,2025-05-20 03:36:20,24.95,30.22,3.84
270,DEV-S2SUMH,2025-01-10 11:56:37,25.31,25.91,3.85
271,DEV-00CDNZ,2025-04-21 12:02:39,18.99,36.89,3.53
272,DEV-D6LQGA,2025-02-06 12:46:46,22.49,94.03,3.66
273,DEV-BKN3DK,2025-03-22 01:44:36,15.77,28.58,3.8
274,DEV-E51K8L,2025-04-06 05:06:12,20.97,63.85,3.48
275,DEV-CZJJY4,2025-02-24 02:16:08,18.49,33.63,3.52
276,DEV-JNMYK8,2025-05-12 06:56:06,21.16,43.67,3.86
277,DEV-0FP8BP,2025-08-11 01:21:55,20.36,46.87,3.52
278,DEV-EJKLCP,2025-03-04 10:50:09,21.27,44.07,3.71
279,DEV-HALCKZ,2025-01-12 13:35:21,15.31,45.85,3.72
280,DEV-URI7EV,2025-05-26 17:51:07,16.73,50.07,3.46
281,DEV-OEJV9L,2025-09-21 22:42:13,21.13,22.59,3.9
282,DEV-UWDKEJ,2025-02-01 08:03:31,27.98,43.02,3.39
283,DEV-C7ISUT,2025-02-18 23:11:14,24.93,44.16,3.76
284,DEV-Y47QUU,2025-12-26 01:07:27,23.74,53.33,3.61
285,DEV-4NRMQY,2025-07-06 04:35:15,19.62,40.78,3.72
286,DEV-YI340S,2025-12-09 19:13:35,18.22,52.93,3.65
287,DEV-M7VH30,2025-04-09 06:18:57,24.5,35.21,3.47
288,DEV-RXGKIK,2025-06-16 23:36:36,17.34,36.72,3.64
289,DEV-GVLLSA,2025-11-02 08:04:08,28.53,49.68,3.8
290,DEV-4PEGJK,2025-08-01 03:35:27,21.83,29.57,3.65
291,DEV-1JLOPO,2025-07-18 17:56:05,30.06,36.53,3.6
292,DEV-JDCZ1O,2025-09-03 09:31:29,28.81,37.58,3.3
293,DEV-V1M3PP,2025-06-03 14:33:41,23.69,38.37,3.52
294,DEV-XLZS49,2025-04-06 13:46:32,23.53,45.86,3.55
295,DEV-OUFHW8,2025-03-04 20:57:49,19.42,31.64,3.87
296,DEV-F309HS,2025-07-13 23:41:51,27.29,54.38,3.62
297,DEV-8OBS75,2025-11-18 04:07:16,20.47,40.92,3.8
298,DEV-EMC20L,2025-12-25 23:47:21,15.25,51.06,3.54
299,DEV-S4I2NR,2025-10-29 12:31:18,26.62,26.58,3.29
300,DEV-B1ZPPE,2025-09-29 10:59:03,24.18,2.13,3.9
301,DEV-OUFHW8,2025-03-31 04:25:53,19.94,59.15,3.55
302,DEV-GYTLCQ,2025-11-24 15:50:27,23.06,48.13,3.89
303,DEV-0DPJHS,2025-09-29 20:48:51,22.13,53.2,3.66
304,DEV-Y47QUU,2025-03-26 14:10:39,27.91,64.76,3.98
305,DEV-E51K8L,2025-10-22 19:23:26,17.97,30.91,4.2
306,DEV-WNXFSH,2025-02-05 20:32:05,27.96,17.87,3.79
307,DEV-AY12TL,2025-01-18 21:27:33,27.32,59.67,3.43
308,DEV-AEJT70,2025-03-18 09:18:32,19.44,54.78,3.81
309,DEV-VR5NBH,2025-02-18 06:05:30,23.68,61.59,3.78
310,DEV-QBKERN,2025-12-25 13:46:44,24.19,69.88,3.45
311,DEV-BZJW83,2025-08-24 00:54:22,33.91,27.4,3.57
312,DEV-BZJW83,2025-02-13 03:06:53,18.88,59.05,3.61
313,DEV-97NG0A,2025-04-19 06:42:09,14.3,41.2,3.77
314,DEV-JE2XE0,2025-05-09 18:20:34,13.96,59.49,3.52
315,DEV-LCG1J5,2025-01-07 16:50:06,22.84,72.54,3.49
316,DEV-CDZN1F,2025-10-31 04:35:24,26.1,45.41,3.47
317,DEV-LST548,2025-04-22 05:01:38,18.44,33.82,3.33
318,DEV-AOFC9L,2025-08-01 21:15:48,21.23,24.66,3.83
319,DEV-QNRMTN,2025-10-31 16:36:51,20.23,11.19,3.72
320,DEV-GWA44L,2025-11-03 13:50:27,17.43,66.78,3.86
321,DEV-9ZXQER,2025-12-29 10:04:33,24.41,67.72,3.56
322,DEV-DI9OIN,2025-03-07 17:28:23,15.01,60.17,3.55
323,DEV-UXL39D,2025-01-31 19:12:18,24.55,40.5,3.77
324,DEV-AY12TL,2025-10-22 06:24:19,20.28,56.81,3.88
325,DEV-I1NQ0E,2025-09-22 11:37:57,25.94,49.59,3.9
326,DEV-D8UR6T,2025-10-24 11:53:02,22.69,27.59,3.48
327,DEV-U4PLLG,2025-11-15 06:21:28,15.8,62.23,3.89
328,DEV-GYTLCQ,2025-01-14 07:53:18,23.25,52.65,4.0
329,DEV-AV6763,2025-02-27 02:59:55,20.47,56.05,3.78
330,DEV-GMP9A9,2025-12-10 23:14:10,26.37,49.89,3.93
331,DEV-7Z4ES3,2025-08-30 21:25:56,24.91,47.0,3.8
332,DEV-ZM32HZ,2025-12-19 19:51:52,26.58,50.3,3.48
333,DEV-84Z4UR,2025-09-05 08:07:12,20.62,40.73,3.89
334,DEV-PA8JX5,2025-04-08 03:41:24,18.34,54.11,3.78
335,DEV-YI340S,2025-06-11 17:23:50,21.94,74.27,3.5
336,DEV-3VEULJ,2025-09-04 09:36:14,24.93,51.94,3.59
337,DEV-Z1R2RO,2025-11-22 17:08:22,18.17,61.75,3.78
338,DEV-IKS62C,2025-12-08 18:05:39,23.24,27.29,4.18
339,DEV-I05NMS,2025-01-04 17:41:23,23.5,57.2,4.06
340,DEV-SPJ4KI,2025-11-02 20:34:41,27.5,52.65,3.3
341,DEV-I26LH0,2025-09-18 09:21:48,17.83,61.13,3.7
342,DEV-W5APMX,2025-11-27 02:09:47,23.97,38.63,4.0
343,DEV-URI7EV,2025-02-14 19:18:01,20.03,59.77,3.62
344,DEV-M7VH30,2025-07-30 07:58:38,18.98,34.21,3.6
345,DEV-0KJD2V,2025-09-01 15:00:00,29.77,62.08,3.59
346,DEV-1KJWV2,2025-07-22 02:20:21,23.78,63.11,3.87
347,DEV-5YRG29,2025-07-22 21:26:50,28.15,28.42,3.78
348,DEV-P5K791,2025-01-27 08:29:56,19.01,50.46,3.81
349,DEV-RXGKIK,2025-04-28 15:00:04,28.71,41.7,3.66
350,DEV-SNHFT4,2025-08-14 15:26:51,20.37,52.31,4.05
351,DEV-G04AJM,2025-12-26 17:22:20,25.18,45.59,3.64
352,DEV-R2OMRD,2025-07-24 20:21:14,18.22,41.64,3.88
353,DEV-5N9C70,2025-09-04 19:15:08,17.71,36.27,3.28
354,DEV-7XFH41,2025-02-18 15:48:07,21.89,66.63,3.69
355,DEV-87H91E,2025-09-10 03:26:05,28.2,33.87,3.61
356,DEV-K48AB1,2025-03-19 21:12:14,27.06,36.82,3.72
357,DEV-D0WPJ8,2025-09-14 11:04:15,22.57,26.16,3.38
358,DEV-1JLOPO,2025-04-30 17:48:57,20.71,57.84,4.03
359,DEV-3VWLO7,2025-02-04 04:22:55,23.27,60.56,3.73
360,DEV-B1ZPPE,2025-11-08 18:45:20,17.79,50.89,4.15
361,DEV-3VWLO7,2025-05-23 10:33:42,22.56,33.45,3.86
362,DEV-RFKI1I,2025-07-16 18:18:06,22.19,19.43,3.75
363,DEV-V1M3PP,2025-09-17 18:27:28,22.21,53.4,3.7
364,DEV-BZGFLI,2025-03-25 10:20:13,23.86,58.48,3.83
365,DEV-4PEGJK,2025-07-11 16:17:28,25.17,37.35,3.85
366,DEV-GQPQ8R,2025-01-22 02:58:35,12.44,46.12,3.8
367,DEV-HZYJB4,2025-01-24 09:10:59,18.68,21.43,4.15
368,DEV-BZGFLI,2025-03-16 15:48:22,19.38,33.15,3.93
369,DEV-8VWCT8,2025-05-14 22:35:14,21.37,50.8,3.57
