ticket_id,customer_id,created_at,priority,status,category,sla_hours
TKT-000037,766,2024-06-08 21:21:00,Medium,Resolved,Shipping,48
TKT-000038,343,2025-11-08 17:28:00,Medium,Open,Billing,48
TKT-000039,346,2025-06-05 20:55:00,Medium,Open,Technical,48
TKT-000040,848,2025-08-14 22:35:00,Medium,In Progress,Technical,72
TKT-000041,539,2025-12-18 10:05:00,Low,Resolved,Technical,48
TKT-000042,959,2025-09-27 16:53:00,Medium,Open,Billing,48
TKT-000043,623,2025-02-28 14:21:00,Medium,Resolved,Technical,24
TKT-000044,233,2024-10-09 03:40:00,Low,Resolved,Account,96
TKT-000045,990,2025-11-03 04:56:00,Medium,Resolved,Technical,96
TKT-000046,576,2024-09-22 20:26:00,Low,In Progress,Account,72
TKT-000047,609,2025-11-14 16:50:00,Medium,Resolved,Shipping,72
TKT-000048,416,2025-10-12 05:42:00,Medium,Open,Account,48
TKT-000049,905,2025-05-05 09:52:00,High,In Progress,Shipping,96
TKT-000050,267,2024-06-21 20:28:00,Medium,Resolved,Billing,72
TKT-000051,997,2024-07-03 14:51:00,Low,Closed,Shipping,96
TKT-000052,326,2024-10-11 01:16:00,Low,Open,Shipping,48
TKT-000053,926,2024-06-26 11:46:00,Medium,Resolved,Technical,48
TKT-000054,744,2025-05-30 17:45:00,Medium,Closed,Returns,72
TKT-000055,911,2024-08-31 20:05:00,Medium,Closed,Shipping,48
TKT-000056,443,2025-11-27 12:36:00,Medium,Open,Account,48
TKT-000057,560,2025-01-24 20:18:00,High,Resolved,Billing,72
TKT-000058,862,2024-06-18 09:49:00,High,Open,Account,48
TKT-000059,722,2025-03-01 06:27:00,Low,Resolved,Billing,72
TKT-000060,76,2025-03-16 15:26:00,Medium,In Progress,Account,24
TKT-000061,247,2024-06-27 10:36:00,Low,Resolved,Shipping,72
TKT-000062,828,2025-08-08 02:20:00,Medium,Closed,Returns,24
TKT-000063,580,2024-09-16 17:30:00,Medium,Closed,Shipping,96
TKT-000064,313,2025-04-20 22:18:00,Medium,Closed,Technical,48
TKT-000065,576,2025-11-13 22:24:00,Medium,Open,Account,72
TKT-000066,694,2024-09-12 07:27:00,High,Open,Returns,48
TKT-000067,592,2025-04-28 04:52:00,Low,Resolved,Account,24
TKT-000068,343,2025-05-28 20:59:00,Low,Resolved,Technical,72
TKT-000069,715,2025-03-16 11:54:00,Low,Open,Technical,96
TKT-000070,182,2025-08-18 07:36:00,Medium,In Progress,Technical,24
TKT-000071,955,2024-07-07 14:51:00,Low,Closed,Shipping,48
TKT-000072,984,2025-05-14 13:58:00,Medium,Closed,Shipping,48
TKT-000073,726,2024-07-13 10:53:00,Low,Open,Returns,48
TKT-000074,935,2024-10-04 11:03:00,Low,In Progress,Technical,96
TKT-000075,632,2024-06-09 12:44:00,Low,Resolved,Shipping,48
TKT-000076,399,2025-11-08 18:10:00,Low,Closed,Billing,72
TKT-000077,241,2024-10-09 02:55:00,Medium,Resolved,Billing,48
TKT-000078,847,2025-04-21 08:29:00,Medium,Closed,Shipping,48
TKT-000079,714,2024-12-01 18:34:00,Low,Resolved,Returns,24
TKT-000080,924,2025-03-09 11:44:00,Medium,Closed,Account,48
TKT-000081,292,2024-07-23 19:49:00,Low,Resolved,Technical,48
TKT-000082,54,2025-12-05 10:01:00,Medium,Closed,Shipping,24
TKT-000083,145,2025-11-15 13:57:00,Medium,Resolved,Returns,96
TKT-000084,356,2025-06-12 16:41:00,Medium,In Progress,Account,48
TKT-000085,598,2025-03-22 00:50:00,High,Open,Returns,24
TKT-000086,983,2024-12-25 11:25:00,Medium,Closed,Account,24
TKT-000087,477,2025-09-20 04:25:00,High,Open,Billing,24
TKT-000088,22,2024-08-08 18:30:00,Medium,In Progress,Account,48
TKT-000089,331,2025-08-11 10:05:00,High,Resolved,Billing,48
TKT-000090,292,2025-03-28 17:55:00,High,Resolved,Technical,96
TKT-000091,236,2024-06-27 20:02:00,Low,Open,Shipping,96
TKT-000092,29,2025-12-05 21:41:00,Low,In Progress,Billing,96
TKT-000093,695,2024-09-14 21:02:00,Medium,In Progress,Returns,48
TKT-000094,938,2025-12-24 09:44:00,Medium,In Progress,Account,48
TKT-000095,160,2024-06-11 05:38:00,High,Closed,Returns,120
TKT-000096,910,2025-01-02 18:15:00,Low,Resolved,Billing,72
TKT-000097,530,2025-04-17 06:13:00,High,Closed,Returns,48
TKT-000098,550,2025-09-03 09:39:00,Low,Open,Account,48
TKT-000099,101,2025-11-08 08:36:00,Low,In Progress,Shipping,48
TKT-000100,290,2025-12-31 21:01:00,High,Resolved,Returns,72
TKT-000101,377,2024-11-07 02:00:00,Low,In Progress,Technical,96
TKT-000102,173,2025-09-07 23:56:00,Low,In Progress,Account,24
TKT-000103,343,2025-11-04 13:56:00,Low,Closed,Account,24
TKT-000104,928,2025-02-28 09:29:00,High,Closed,Technical,48
TKT-000105,878,2025-01-27 00:42:00,Medium,Resolved,Billing,48
TKT-000106,579,2024-11-14 20:20:00,High,Resolved,Technical,72
TKT-000107,191,2025-12-21 01:11:00,Medium,Open,Billing,72
TKT-000108,439,2025-04-23 01:30:00,Medium,Closed,Shipping,48
TKT-000109,555,2025-11-11 08:10:00,Low,Resolved,Billing,72
TKT-000110,635,2025-02-28 12:28:00,Low,Open,Shipping,48
TKT-000111,790,2025-06-11 16:37:00,Medium,Open,Shipping,72
TKT-000112,343,2025-06-10 06:22:00,Medium,Resolved,Technical,72
TKT-000113,708,2025-04-30 13:24:00,Low,Open,Shipping,48
TKT-000114,845,2024-06-03 19:37:00,Low,Closed,Billing,72
TKT-000115,125,2025-01-29 02:49:00,Low,Closed,Returns,48
TKT-000116,608,2024-07-21 21:35:00,Medium,Closed,Account,48
TKT-000117,890,2025-05-16 15:17:00,Low,Resolved,Account,48
TKT-000118,669,2024-11-21 18:53:00,Low,In Progress,Billing,48
TKT-000119,552,2024-09-24 02:30:00,Low,Open,Returns,72
TKT-000120,360,2025-05-27 07:10:00,High,Resolved,Shipping,48
TKT-000121,503,2025-05-21 07:30:00,Low,In Progress,Billing,72
TKT-000122,173,2024-08-15 10:42:00,High,Resolved,Shipping,96
TKT-000123,887,2024-08-20 12:59:00,Medium,In Progress,Technical,48
TKT-000124,394,2025-01-15 00:22:00,Medium,Open,Returns,24
TKT-000125,461,2024-08-11 06:06:00,Low,In Progress,Account,24
TKT-000126,685,2025-07-08 10:50:00,Medium,Resolved,Billing,24
TKT-000127,120,2025-01-04 13:39:00,Low,In Progress,Account,24
TKT-000128,273,2025-08-26 03:58:00,Low,In Progress,Shipping,72
TKT-000129,358,2025-06-02 07:13:00,High,In Progress,Shipping,48
TKT-000130,386,2025-12-12 11:43:00,Medium,Open,Technical,72
TKT-000131,913,2025-04-08 19:10:00,Low,Closed,Shipping,24
TKT-000132,876,2025-03-25 15:41:00,Medium,Resolved,Shipping,48
TKT-000133,858,2024-06-24 09:00:00,Medium,Open,Account,48
TKT-000134,887,2024-09-18 10:32:00,Medium,In Progress,Account,48
TKT-000135,934,2024-07-22 03:17:00,Medium,Closed,Billing,24
TKT-000136,933,2025-03-17 08:01:00,Low,Resolved,Billing,72
TKT-000137,319,2025-08-18 20:02:00,Low,In Progress,Shipping,72
TKT-000138,261,2025-09-10 14:28:00,Medium,In Progress,Returns,24
TKT-000139,281,2025-02-14 08:42:00,Medium,In Progress,Billing,72
TKT-000140,329,2025-04-20 10:50:00,Medium,Open,Shipping,48
TKT-000141,124,2025-05-04 15:58:00,Medium,Resolved,Account,48
TKT-000142,476,2025-12-08 07:16:00,Medium,In Progress,Technical,96
TKT-000143,278,2025-07-27 14:16:00,Medium,Resolved,Account,96
TKT-000144,93,2025-02-14 05:13:00,High,In Progress,Account,96
TKT-000145,959,2024-08-04 00:18:00,Low,Open,Technical,24
TKT-000146,547,2024-11-10 19:43:00,Medium,Resolved,Account,120
TKT-000147,823,2024-11-11 13:37:00,High,In Progress,Billing,72
TKT-000148,128,2024-07-09 02:01:00,Medium,Resolved,Account,48
TKT-000149,532,2025-04-16 01:11:00,Medium,Resolved,Technical,120
TKT-000150,773,2025-05-26 17:58:00,Low,Closed,Shipping,96
TKT-000151,167,2025-02-24 07:39:00,High,Open,Shipping,72
TKT-000152,831,2025-04-20 02:48:00,Medium,Open,Shipping,96
TKT-000153,236,2025-04-22 09:41:00,Medium,Resolved,Technical,48
TKT-000154,32,2025-02-12 19:32:00,Low,In Progress,Technical,72
TKT-000155,231,2024-12-17 10:28:00,Low,In Progress,Billing,24
TKT-000156,191,2025-08-12 00:25:00,Low,Open,Technical,120
TKT-000157,842,2024-09-12 21:11:00,Low,Resolved,Shipping,72
TKT-000158,936,2025-06-07 12:00:00,High,Open,Technical,96
TKT-000159,657,2024-11-11 20:50:00,High,Resolved,Returns,48
TKT-000160,613,2024-09-21 17:13:00,Medium,Resolved,Account,72
TKT-000161,591,2025-12-01 18:38:00,Low,Open,Billing,48
TKT-000162,508,2024-09-14 02:00:00,Low,Resolved,Shipping,72
TKT-000163,457,2025-05-30 02:05:00,Medium,In Progress,Shipping,72
TKT-000164,672,2024-06-21 09:08:00,Low,In Progress,Returns,24
TKT-000165,255,2024-10-07 18:12:00,Medium,Open,Billing,48
TKT-000166,279,2025-09-26 04:56:00,Low,Resolved,Account,48
TKT-000167,971,2024-12-16 11:25:00,Medium,In Progress,Billing,48
TKT-000168,700,2025-11-03 16:12:00,High,Open,Billing,48
TKT-000169,973,2025-07-25 17:48:00,Medium,Closed,Shipping,48
TKT-000170,722,2025-01-12 10:34:00,High,In Progress,Technical,48
TKT-000171,753,2024-12-26 06:21:00,Medium,Closed,Account,96
TKT-000172,56,2025-01-31 17:30:00,Medium,In Progress,Billing,96
TKT-000173,649,2025-03-15 11:44:00,Medium,Resolved,Returns,72
TKT-000174,106,2024-08-05 08:16:00,Low,Resolved,Shipping,24
TKT-000175,581,2024-10-31 14:11:00,High,Closed,Technical,72
TKT-000176,702,2025-10-04 19:19:00,Medium,Closed,Technical,48
TKT-000177,192,2025-08-09 11:46:00,Medium,Closed,Shipping,72
TKT-000178,278,2025-01-04 17:52:00,Medium,In Progress,Billing,48
TKT-000179,544,2025-08-03 02:00:00,Low,Resolved,Shipping,24
TKT-000180,175,2025-10-15 20:40:00,Urgent,Resolved,Technical,72
TKT-000181,770,2025-01-07 10:25:00,Low,Open,Technical,48
TKT-000182,635,2025-08-09 08:45:00,High,Closed,Returns,96
TKT-000183,85,2025-03-07 17:46:00,Low,In Progress,Returns,72
TKT-000184,988,2024-08-31 12:31:00,Medium,Open,Technical,48
TKT-000185,948,2025-11-06 01:35:00,Medium,In Progress,Returns,72
TKT-000186,728,2024-10-17 00:26:00,High,Resolved,Returns,48
TKT-000187,216,2024-06-23 13:55:00,High,Resolved,Returns,24
TKT-000188,14,2025-07-22 21:05:00,High,Resolved,Technical,48
TKT-000189,37,2025-05-14 08:06:00,Medium,In Progress,Billing,48
TKT-000190,27,2025-01-23 03:59:00,Low,Resolved,Billing,24
TKT-000191,664,2024-11-30 22:07:00,Medium,Closed,Account,48
TKT-000192,576,2025-10-21 01:06:00,Medium,In Progress,Returns,48
TKT-000193,70,2024-12-15 21:44:00,Medium,Resolved,Billing,24
TKT-000194,154,2024-10-01 20:15:00,Medium,Open,Account,72
TKT-000195,438,2025-11-28 19:02:00,Medium,Open,Shipping,24
TKT-000196,765,2025-06-16 19:35:00,Medium,Resolved,Returns,48
TKT-000197,271,2025-10-28 23:35:00,High,Open,Billing,48
TKT-000198,541,2024-06-06 03:50:00,High,Resolved,Billing,24
TKT-000199,996,2025-03-31 05:50:00,Medium,Resolved,Billing,120
TKT-000200,74,2024-12-09 12:40:00,Medium,In Progress,Account,72
TKT-000201,796,2025-06-11 19:54:00,Medium,In Progress,Shipping,96
TKT-000202,571,2025-11-07 14:22:00,Low,Closed,Returns,48
TKT-000203,755,2024-07-06 19:15:00,Low,Open,Billing,72
TKT-000204,841,2024-08-09 05:56:00,Low,Resolved,Technical,120
TKT-000205,149,2025-03-16 17:45:00,Low,Closed,Returns,48
TKT-000206,506,2024-09-13 22:08:00,Low,Closed,Technical,48
TKT-000207,10,2025-04-09 17:09:00,High,Resolved,Account,48
TKT-000208,644,2024-07-25 05:28:00,Medium,In Progress,Billing,120
TKT-000209,502,2024-09-15 19:53:00,Medium,Open,Returns,48
TKT-000210,62,2025-04-03 15:10:00,Medium,Open,Returns,72
TKT-000211,388,2024-07-06 05:37:00,Medium,Resolved,Billing,24
TKT-000212,895,2024-10-11 18:12:00,Low,Open,Shipping,96
TKT-000213,774,2024-06-25 14:41:00,Low,Closed,Account,72
TKT-000214,730,2024-07-07 08:58:00,High,Resolved,Billing,96
TKT-000215,232,2024-06-19 12:16:00,Medium,Open,Returns,96
TKT-000216,848,2024-07-05 07:22:00,Medium,Open,Shipping,72
TKT-000217,584,2025-05-29 15:23:00,Medium,Resolved,Returns,72
TKT-000218,988,2025-07-23 15:19:00,Low,Open,Technical,72
TKT-000219,528,2025-08-04 00:50:00,Medium,Resolved,Returns,48
TKT-000220,550,2025-10-31 02:28:00,Medium,Closed,Account,48
TKT-000221,689,2025-09-10 18:35:00,Medium,Closed,Billing,24
TKT-000222,445,2024-12-16 06:07:00,Low,Resolved,Returns,48
TKT-000223,321,2025-11-28 09:39:00,High,Closed,Technical,120
TKT-000224,894,2025-12-20 10:55:00,Low,Resolved,Technical,48
TKT-000225,83,2024-12-28 01:15:00,Medium,In Progress,Billing,72
TKT-000226,434,2025-10-14 18:29:00,Medium,Resolved,Technical,24
TKT-000227,17,2025-01-27 03:46:00,Medium,Open,Billing,48
TKT-000228,369,2024-11-17 23:06:00,Medium,Open,Account,24
TKT-000229,668,2025-03-21 15:58:00,Low,Resolved,Billing,48
TKT-000230,684,2025-04-11 09:51:00,Medium,Closed,Shipping,24
TKT-000231,908,2024-10-05 00:23:00,Low,Resolved,Technical,72
TKT-000232,582,2025-09-11 00:27:00,Low,In Progress,Technical,72
TKT-000233,583,2025-06-02 02:00:00,Low,Resolved,Returns,72
TKT-000234,255,2024-06-21 14:12:00,Medium,In Progress,Shipping,72
TKT-000235,456,2025-04-12 10:23:00,Low,In Progress,Returns,96
TKT-000236,643,2024-08-29 14:49:00,Low,Closed,Billing,72
TKT-000237,561,2025-07-09 22:48:00,Medium,In Progress,Account,24
TKT-000238,533,2025-10-31 00:30:00,High,Open,Technical,48
TKT-000239,392,2025-08-25 20:50:00,Medium,Resolved,Account,24
TKT-000240,320,2024-10-28 14:29:00,High,In Progress,Billing,48
TKT-000241,220,2025-08-20 21:13:00,Medium,Resolved,Billing,48
TKT-000242,699,2024-08-19 00:49:00,Medium,Resolved,Shipping,96
TKT-000243,414,2024-06-17 12:05:00,Medium,Resolved,Returns,48
TKT-000244,32,2024-10-16 06:28:00,Low,Open,Technical,72
TKT-000245,715,2025-10-21 15:43:00,Low,Open,Technical,48
TKT-000246,788,2025-12-04 21:51:00,Low,In Progress,Account,24
TKT-000247,754,2024-08-13 16:54:00,Low,Resolved,Shipping,96
TKT-000248,16,2024-08-13 07:54:00,Medium,Open,Billing,48
TKT-000249,409,2024-07-20 12:35:00,Medium,In Progress,Shipping,96
TKT-000250,828,2024-06-10 10:02:00,Low,Closed,Technical,24
TKT-000251,173,2024-09-11 15:25:00,High,Open,Returns,96
TKT-000252,649,2025-06-23 17:09:00,Medium,Resolved,Account,72
TKT-000253,179,2025-06-20 13:12:00,Medium,Resolved,Billing,72
TKT-000254,871,2025-03-26 06:51:00,High,Closed,Billing,96
TKT-000255,573,2025-05-05 11:01:00,Low,Closed,Billing,48
TKT-000256,497,2025-06-24 22:27:00,Medium,Resolved,Returns,24
TKT-000257,936,2025-09-17 23:42:00,Medium,Resolved,Technical,24
TKT-000258,104,2024-10-20 21:45:00,Medium,Resolved,Technical,48
TKT-000259,317,2024-11-17 03:10:00,High,In Progress,Shipping,48
TKT-000260,707,2024-06-13 13:05:00,Medium,In Progress,Shipping,96
TKT-000261,768,2025-08-23 09:44:00,Low,In Progress,Technical,24
TKT-000262,976,2024-11-21 15:58:00,Low,Open,Billing,96
TKT-000263,588,2024-10-10 08:19:00,Low,Resolved,Returns,96
TKT-000264,783,2025-11-22 09:39:00,Medium,Closed,Technical,72
TKT-000265,181,2025-02-24 13:35:00,Low,Closed,Returns,96
TKT-000266,132,2025-02-06 18:06:00,Low,Open,Account,72
TKT-000267,663,2025-06-05 22:10:00,Medium,Open,Billing,48
TKT-000268,155,2025-11-08 12:59:00,Low,Resolved,Account,72
TKT-000269,359,2025-10-19 15:42:00,High,In Progress,Technical,72
TKT-000270,235,2024-11-25 19:09:00,Low,Resolved,Shipping,24
TKT-000271,760,2025-11-29 04:24:00,Low,Resolved,Technical,24
TKT-000272,165,2025-02-14 00:06:00,Low,Resolved,Account,48
TKT-000273,717,2025-02-15 23:56:00,High,In Progress,Returns,24
TKT-000274,427,2024-10-13 20:29:00,Medium,Open,Technical,120
TKT-000275,677,2025-09-04 20:02:00,Low,In Progress,Shipping,48
TKT-000276,488,2025-10-02 11:34:00,Medium,Resolved,Account,48
TKT-000277,213,2024-08-20 16:31:00,Medium,Closed,Technical,24
TKT-000278,925,2025-06-02 15:17:00,Low,Open,Account,48
TKT-000279,766,2024-07-29 20:51:00,Medium,Open,Account,48
TKT-000280,157,2024-08-13 12:27:00,Low,Resolved,Billing,24
TKT-000281,689,2025-01-25 02:25:00,Low,In Progress,Returns,120
TKT-000282,75,2024-10-07 21:59:00,Medium,Closed,Billing,48
TKT-000283,435,2025-07-17 04:00:00,Low,Open,Account,72
TKT-000284,178,2025-04-11 14:16:00,High,Closed,Shipping,24
TKT-000285,796,2025-06-09 04:46:00,Low,Closed,Shipping,96
TKT-000286,842,2025-08-11 15:51:00,Medium,Closed,Billing,72
TKT-000287,645,2024-10-16 00:25:00,Low,Open,Shipping,72
TKT-000288,637,2025-08-29 07:31:00,High,In Progress,Account,72
TKT-000289,312,2024-06-09 01:45:00,Low,Resolved,Technical,72
TKT-000290,832,2025-01-18 03:59:00,High,Resolved,Account,24
TKT-000291,127,2025-07-02 05:31:00,Low,Resolved,Technical,48
TKT-000292,377,2025-12-26 15:11:00,Medium,In Progress,Shipping,48
TKT-000293,345,2025-04-14 17:45:00,Medium,In Progress,Returns,48
TKT-000294,225,2025-10-20 10:44:00,Medium,Closed,Returns,48
TKT-000295,17,2025-11-04 00:34:00,Low,Open,Account,96
TKT-000296,497,2024-08-26 14:35:00,High,Open,Account,48
TKT-000297,993,2025-04-14 22:50:00,Low,Open,Shipping,48
TKT-000298,473,2025-04-29 06:23:00,Medium,Resolved,Returns,120
TKT-000299,865,2025-05-26 13:30:00,Medium,Open,Returns,96
TKT-000300,311,2025-01-27 21:51:00,Urgent,Resolved,Account,120
TKT-000301,758,2024-07-26 12:27:00,Medium,In Progress,Returns,72
TKT-000302,137,2024-09-18 15:58:00,Low,Open,Account,24
TKT-000303,475,2024-07-19 17:36:00,Medium,Resolved,Billing,96
TKT-000304,217,2024-06-16 01:34:00,Low,Open,Returns,24
TKT-000305,196,2024-08-12 16:59:00,Low,In Progress,Technical,24
TKT-000306,201,2024-12-19 03:24:00,Low,Resolved,Shipping,24
TKT-000307,366,2024-09-01 13:53:00,High,In Progress,Account,72
TKT-000308,719,2024-07-03 00:29:00,High,In Progress,Returns,24
TKT-000309,528,2025-07-24 04:25:00,Low,Closed,Returns,72
TKT-000310,400,2024-12-20 00:22:00,Medium,Closed,Account,24
TKT-000311,525,2025-12-03 10:08:00,Low,In Progress,Technical,24
TKT-000312,590,2025-04-08 00:38:00,Low,In Progress,Returns,48
TKT-000313,214,2025-09-12 02:52:00,Low,In Progress,Billing,48
TKT-000314,341,2025-06-29 12:39:00,Medium,Closed,Shipping,120
TKT-000315,329,2024-12-28 23:56:00,High,Resolved,Account,120
TKT-000316,959,2025-12-23 06:53:00,Low,Open,Returns,24
TKT-000317,119,2024-11-03 11:31:00,Low,Closed,Shipping,96
TKT-000318,425,2025-04-18 10:14:00,Low,Resolved,Account,72
TKT-000319,693,2025-08-09 03:28:00,High,In Progress,Account,48
TKT-000320,836,2025-12-26 00:21:00,Low,In Progress,Account,72
TKT-000321,842,2024-07-10 00:04:00,Medium,Open,Technical,96
TKT-000322,867,2024-07-10 10:50:00,High,Closed,Billing,24
TKT-000323,373,2025-08-27 03:33:00,Low,Resolved,Account,24
TKT-000324,649,2024-12-07 15:19:00,Medium,Open,Technical,48
TKT-000325,179,2024-06-15 15:06:00,Low,Resolved,Account,24
TKT-000326,432,2024-10-02 19:22:00,High,Resolved,Account,48
TKT-000327,720,2025-03-07 11:11:00,Low,Open,Technical,72
TKT-000328,945,2024-07-18 11:06:00,Urgent,In Progress,Billing,96
TKT-000329,402,2024-12-06 13:19:00,High,Resolved,Shipping,48
TKT-000330,394,2025-03-31 05:16:00,Medium,In Progress,Returns,48
TKT-000331,981,2025-12-11 13:12:00,Medium,In Progress,Account,72
TKT-000332,883,2024-09-13 09:35:00,Medium,Open,Billing,48
TKT-000333,566,2025-06-04 19:39:00,Low,In Progress,Returns,96
TKT-000334,79,2025-10-14 01:30:00,Low,Resolved,Account,120
TKT-000335,783,2025-09-03 17:45:00,Low,Open,Returns,120
TKT-000336,907,2025-02-02 12:40:00,Medium,Resolved,Technical,72
TKT-000337,424,2025-02-19 21:58:00,High,In Progress,Billing,48
TKT-000338,118,2024-12-23 12:49:00,High,Resolved,Billing,24
TKT-000339,368,2025-10-20 22:40:00,Medium,In Progress,Shipping,72
TKT-000340,106,2025-11-12 00:00:00,Medium,Resolved,Shipping,120
TKT-000341,105,2025-05-30 01:48:00,High,Resolved,Returns,24
TKT-000342,303,2025-05-06 15:27:00,High,Resolved,Technical,24
TKT-000343,630,2025-07-12 19:08:00,Medium,Resolved,Returns,96
TKT-000344,894,2025-08-27 18:07:00,Low,Open,Account,24
TKT-000345,741,2025-12-30 03:25:00,Medium,Closed,Billing,24
TKT-000346,148,2024-10-28 23:58:00,Medium,Resolved,Returns,96
TKT-000347,866,2024-12-10 14:09:00,Medium,Resolved,Returns,24
TKT-000348,150,2024-10-25 21:07:00,Urgent,Closed,Billing,24
TKT-000349,816,2025-07-11 09:49:00,High,In Progress,Billing,72
TKT-000350,256,2024-11-30 10:22:00,Medium,Open,Shipping,72
TKT-000351,82,2024-09-14 20:39:00,Low,Resolved,Shipping,48
TKT-000352,16,2025-01-22 16:04:00,Low,Closed,Billing,48
TKT-000353,901,2024-11-26 16:04:00,Low,Open,Returns,72
TKT-000354,193,2025-08-06 10:52:00,Medium,Resolved,Account,48
TKT-000355,723,2025-07-06 23:23:00,High,Resolved,Returns,24
TKT-000356,74,2025-11-07 01:18:00,Medium,Closed,Account,24
TKT-000357,277,2025-11-22 06:54:00,Medium,In Progress,Billing,72
TKT-000358,61,2025-04-19 19:32:00,Low,Open,Account,72
TKT-000359,973,2025-02-16 10:38:00,Medium,Open,Shipping,72
TKT-000360,951,2025-07-04 13:10:00,High,Resolved,Billing,72
TKT-000361,536,2025-05-03 17:41:00,Medium,Closed,Technical,72
TKT-000362,535,2025-03-27 19:40:00,Low,Resolved,Account,24
TKT-000363,343,2024-09-27 05:32:00,High,Closed,Account,96
TKT-000364,395,2025-12-10 04:47:00,Low,Resolved,Technical,96
TKT-000365,943,2025-07-18 18:55:00,Medium,Resolved,Technical,48
TKT-000366,258,2025-06-19 18:34:00,Low,Open,Billing,48
TKT-000367,198,2025-09-23 17:52:00,Medium,In Progress,Returns,72
TKT-000368,53,2025-04-01 02:40:00,Low,Open,Technical,72
TKT-000369,651,2024-12-13 23:45:00,Medium,In Progress,Account,48
TKT-000370,271,2025-04-29 05:19:00,Medium,Open,Technical,72
TKT-000371,201,2024-06-20 15:23:00,Low,Open,Billing,72
TKT-000372,396,2025-08-07 06:03:00,High,In Progress,Billing,96
TKT-000373,378,2025-07-31 07:54:00,Low,Resolved,Account,24
TKT-000374,891,2025-01-15 17:02:00,High,Open,Account,24
TKT-000375,676,2025-11-06 12:45:00,Medium,Resolved,Account,72
TKT-000376,604,2025-01-03 10:01:00,Medium,Resolved,Returns,96
TKT-000377,535,2025-06-10 05:11:00,Medium,Resolved,Account,48
TKT-000378,923,2024-07-06 09:48:00,Low,Resolved,Billing,72
TKT-000379,88,2024-06-28 20:43:00,Low,Resolved,Billing,24
TKT-000380,398,2025-06-07 05:42:00,Medium,Closed,Technical,72
TKT-000381,182,2024-08-25 15:05:00,High,Open,Account,120
TKT-000382,867,2024-12-05 18:37:00,High,In Progress,Returns,72
TKT-000383,283,2025-04-01 19:16:00,Low,Open,Shipping,96
TKT-000384,533,2025-07-27 02:51:00,Medium,Resolved,Technical,72
TKT-000385,561,2024-08-19 10:25:00,Medium,In Progress,Returns,96
TKT-000386,190,2024-12-03 17:12:00,Medium,In Progress,Account,24
TKT-000387,205,2024-06-05 11:21:00,High,Open,Returns,24
TKT-000388,968,2025-12-10 22:24:00,Low,Resolved,Shipping,24
TKT-000389,44,2025-10-10 18:41:00,Medium,Resolved,Returns,48
TKT-000390,300,2025-10-22 19:52:00,Medium,In Progress,Shipping,48
TKT-000391,640,2024-06-02 05:10:00,Low,In Progress,Shipping,72
